node1,node2,tstart,tend,line
Brixton,Stockwell,840,842,Victoria line to Stockwell
Stockwell,Vauxhall,842,844,Victoria line to Vauxhall
Vauxhall,Pimlico,844,845,Victoria line to Pimlico
Pimlico,Victoria,846,847,Victoria line to Victoria
Victoria,Green Park,848,849,Victoria line to Green Park
Green Park,Oxford Circus,850,851,Victoria line to Oxford Circus
Oxford Circus,Warren Street,852,853,Victoria line to Warren Street
Warren Street,Euston,853,854,Northern line or Victoria line to Euston
Euston,King's Cross St. Pancras,855,856,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,856,859,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,859,861,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,861,864,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,866,867,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,867,869,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,869,871,Victoria line to Walthamstow Central
Brixton,Stockwell,851,853,Victoria line to Stockwell
Stockwell,Vauxhall,853,855,Victoria line to Vauxhall
Vauxhall,Pimlico,855,856,Victoria line to Pimlico
Pimlico,Victoria,857,858,Victoria line to Victoria
Victoria,Green Park,859,860,Victoria line to Green Park
Green Park,Oxford Circus,861,862,Victoria line to Oxford Circus
Oxford Circus,Warren Street,863,864,Victoria line to Warren Street
Warren Street,Euston,865,866,Northern line or Victoria line to Euston
Euston,King's Cross St. Pancras,866,867,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,868,870,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,870,872,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,873,876,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,877,878,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,878,880,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,880,882,Victoria line to Walthamstow Central
Brixton,Stockwell,856,857,Victoria line to Stockwell
Stockwell,Vauxhall,858,860,Victoria line to Vauxhall
Vauxhall,Pimlico,860,861,Victoria line to Pimlico
Pimlico,Victoria,861,863,Victoria line to Victoria
Victoria,Green Park,863,865,Victoria line to Green Park
Green Park,Oxford Circus,865,867,Victoria line to Oxford Circus
Oxford Circus,Warren Street,867,869,Victoria line to Warren Street
Warren Street,Euston,869,870,Victoria line or Northern line to Euston
Euston,King's Cross St. Pancras,871,872,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,872,874,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,875,877,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,877,880,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,881,883,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,883,884,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,885,887,Victoria line to Walthamstow Central
Brixton,Stockwell,860,862,Victoria line to Stockwell
Stockwell,Vauxhall,862,864,Victoria line to Vauxhall
Vauxhall,Pimlico,864,865,Victoria line to Pimlico
Pimlico,Victoria,866,867,Victoria line to Victoria
Victoria,Green Park,868,869,Victoria line to Green Park
Green Park,Oxford Circus,870,871,Victoria line to Oxford Circus
Oxford Circus,Warren Street,872,873,Victoria line to Warren Street
Warren Street,Euston,874,875,Northern line or Victoria line to Euston
