id,commonName,stopType,lat,lon
940GZZLUBKE,Barkingside Underground Station,NaptanMetroStation,51.585689,0.088585
940GZZLUBKH,Buckhurst Hill Underground Station,NaptanMetroStation,51.626605,0.046757
940GZZLUBLG,Bethnal Green Underground Station,NaptanMetroStation,51.527222,-0.055506
940GZZLUBND,Bond Street Underground Station,NaptanMetroStation,51.514304,-0.149723
940GZZLUBNK,Bank Underground Station,NaptanMetroStation,51.512884,-0.091397
940GZZLUCHL,Chancery Lane Underground Station,NaptanMetroStation,51.518247,-0.111583
940GZZLUCWL,Chigwell Underground Station,NaptanMetroStation,51.617916,0.075041
940GZZLUDBN,Debden Underground Station,NaptanMetroStation,51.645386,0.083782
940GZZLUEAN,East Acton Underground Station,NaptanMetroStation,51.516612,-0.247248
940GZZLUEBY,Ealing Broadway Underground Station,NaptanMetroStation,51.515017,-0.301457
940GZZLUEPG,Epping Underground Station,NaptanMetroStation,51.69368,0.113767
940GZZLUFLP,Fairlop Underground Station,NaptanMetroStation,51.595618,0.091004
940GZZLUGFD,Greenford Underground Station,NaptanMetroStation,51.542424,-0.34605
940GZZLUGGH,Grange Hill Underground Station,NaptanMetroStation,51.613378,0.092066
940GZZLUGTH,Gants Hill Underground Station,NaptanMetroStation,51.576544,0.066185
940GZZLUHBN,Holborn Underground Station,NaptanMetroStation,51.51758,-0.120475
940GZZLUHGR,Hanger Lane Underground Station,NaptanMetroStation,51.530177,-0.292704
940GZZLUHLT,Hainault Underground Station,NaptanMetroStation,51.603659,0.093482
940GZZLUHPK,Holland Park Underground Station,NaptanMetroStation,51.507143,-0.205679
940GZZLULGN,Loughton Underground Station,NaptanMetroStation,51.641443,0.055476
940GZZLULGT,Lancaster Gate Underground Station,NaptanMetroStation,51.511723,-0.175494
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517372,-0.083182
940GZZLULYN,Leyton Underground Station,NaptanMetroStation,51.556589,-0.005523
940GZZLULYS,Leytonstone Underground Station,NaptanMetroStation,51.568324,0.008194
940GZZLUMBA,Marble Arch Underground Station,NaptanMetroStation,51.513424,-0.158953
940GZZLUMED,Mile End Underground Station,NaptanMetroStation,51.525122,-0.03364
940GZZLUNAN,North Acton Underground Station,NaptanMetroStation,51.523524,-0.259755
940GZZLUNBP,Newbury Park Underground Station,NaptanMetroStation,51.575726,0.090004
940GZZLUNHG,Notting Hill Gate Underground Station,NaptanMetroStation,51.509128,-0.196104
940GZZLUNHT,Northolt Underground Station,NaptanMetroStation,51.548236,-0.368699
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515224,-0.141903
940GZZLUPVL,Perivale Underground Station,NaptanMetroStation,51.536717,-0.323446
940GZZLUQWY,Queensway Underground Station,NaptanMetroStation,51.510312,-0.187152
940GZZLURBG,Redbridge Underground Station,NaptanMetroStation,51.576243,0.04536
940GZZLURSG,Ruislip Gardens Underground Station,NaptanMetroStation,51.560736,-0.41071
940GZZLURVY,Roding Valley Underground Station,NaptanMetroStation,51.617199,0.043647
940GZZLUSBC,Shepherd's Bush (Central) Underground Station,NaptanMetroStation,51.504376,-0.218813
940GZZLUSNB,Snaresbrook Underground Station,NaptanMetroStation,51.580678,0.02144
940GZZLUSPU,St. Paul's Underground Station,NaptanMetroStation,51.514936,-0.097567
940GZZLUSRP,South Ruislip Underground Station,NaptanMetroStation,51.556853,-0.398915
940GZZLUSTD,Stratford Underground Station,NaptanMetroStation,51.541806,-0.003458
940GZZLUSWF,South Woodford Underground Station,NaptanMetroStation,51.591907,0.027338
940GZZLUTCR,Tottenham Court Road Underground Station,NaptanMetroStation,51.516426,-0.13041
940GZZLUTHB,Theydon Bois Underground Station,NaptanMetroStation,51.671759,0.103085
940GZZLUWCY,White City Underground Station,NaptanMetroStation,51.511959,-0.224297
940GZZLUWOF,Woodford Underground Station,NaptanMetroStation,51.606899,0.03397
940GZZLUWRP,West Ruislip Underground Station,NaptanMetroStation,51.569688,-0.437886
940GZZLUWSD,Wanstead Underground Station,NaptanMetroStation,51.575501,0.028527
940GZZLUWTA,West Acton Underground Station,NaptanMetroStation,51.518001,-0.28098
