id,commonName,stopType,lat,lon
940GZZLUALD,Aldgate Underground Station,NaptanMetroStation,51.514246,-0.075689
940GZZLUBBN,Barbican Underground Station,NaptanMetroStation,51.520275,-0.097993
940GZZLUBKF,Blackfriars Underground Station,NaptanMetroStation,51.511581,-0.103659
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713
940GZZLUBWT,Bayswater Underground Station,NaptanMetroStation,51.512284,-0.187938
940GZZLUCST,Cannon Street Underground Station,NaptanMetroStation,51.51151,-0.090432
940GZZLUEMB,Embankment Underground Station,NaptanMetroStation,51.507058,-0.122666
940GZZLUERC,Edgware Road (Circle Line) Underground Station,NaptanMetroStation,51.519858,-0.167832
940GZZLUESQ,Euston Square Underground Station,NaptanMetroStation,51.525604,-0.135829
940GZZLUFCN,Farringdon Underground Station,NaptanMetroStation,51.520252,-0.104913
940GZZLUGHK,Goldhawk Road Underground Station,NaptanMetroStation,51.502005,-0.226715
940GZZLUGPS,Great Portland Street Underground Station,NaptanMetroStation,51.52384,-0.144262
940GZZLUGTR,Gloucester Road Underground Station,NaptanMetroStation,51.494316,-0.182658
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,NaptanMetroStation,51.493535,-0.225013
940GZZLUHSK,High Street Kensington Underground Station,NaptanMetroStation,51.501055,-0.192792
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194
940GZZLULAD,Ladbroke Grove Underground Station,NaptanMetroStation,51.517449,-0.210391
940GZZLULRD,Latimer Road Underground Station,NaptanMetroStation,51.513389,-0.217799
940GZZLULVT,Liverpool Street Underground Station,NaptanMetroStation,51.517372,-0.083182
940GZZLUMGT,Moorgate Underground Station,NaptanMetroStation,51.518176,-0.088322
940GZZLUMMT,Monument Underground Station,NaptanMetroStation,51.5107,-0.085969
940GZZLUMSH,Mansion House Underground Station,NaptanMetroStation,51.512117,-0.094009
940GZZLUNHG,Notting Hill Gate Underground Station,NaptanMetroStation,51.509128,-0.196104
940GZZLUPAC,Paddington Underground Station,NaptanMetroStation,51.516581,-0.175689
940GZZLUPAH,Paddington (H&C Line)-Underground,NaptanMetroStation,51.518187,-0.178306
940GZZLURYO,Royal Oak Underground Station,NaptanMetroStation,51.519113,-0.188748
940GZZLUSBM,Shepherd's Bush Market Underground Station,NaptanMetroStation,51.505579,-0.226375
940GZZLUSJP,St. James's Park Underground Station,NaptanMetroStation,51.499544,-0.133608
940GZZLUSKS,South Kensington Underground Station,NaptanMetroStation,51.494094,-0.174138
940GZZLUSSQ,Sloane Square Underground Station,NaptanMetroStation,51.49227,-0.156377
940GZZLUTMP,Temple Underground Station,NaptanMetroStation,51.511006,-0.11426
940GZZLUTWH,Tower Hill Underground Station,NaptanMetroStation,51.509971,-0.076546
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496359,-0.143102
940GZZLUWLA,Wood Lane Underground Station,NaptanMetroStation,51.509669,-0.22453
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.50132,-0.124861
940GZZLUWSP,Westbourne Park Underground Station,NaptanMetroStation,51.52111,-0.201065
