id,commonName,stopType,lat,lon
940GZZLUBMY,Bermondsey Underground Station,NaptanMetroStation,51.49775,-0.063993
940GZZLUBND,Bond Street Underground Station,NaptanMetroStation,51.514304,-0.149723
940GZZLUBST,Baker Street Underground Station,NaptanMetroStation,51.522883,-0.15713
940GZZLUCGT,Canning Town Underground Station,NaptanMetroStation,51.513584,0.008322
940GZZLUCPK,Canons Park Underground Station,NaptanMetroStation,51.607701,-0.294693
940GZZLUCWR,Canada Water Underground Station,NaptanMetroStation,51.497931,-0.049405
940GZZLUCYF,Canary Wharf Underground Station,NaptanMetroStation,51.503488,-0.018246
940GZZLUDOH,Dollis Hill Underground Station,NaptanMetroStation,51.551955,-0.239068
940GZZLUFYR,Finchley Road Underground Station,NaptanMetroStation,51.546825,-0.179845
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506947,-0.142787
940GZZLUKBN,Kilburn Underground Station,NaptanMetroStation,51.547183,-0.204248
940GZZLUKBY,Kingsbury Underground Station,NaptanMetroStation,51.584845,-0.27879
940GZZLULNB,London Bridge Underground Station,NaptanMetroStation,51.505721,-0.088873
940GZZLUNDN,Neasden Underground Station,NaptanMetroStation,51.553986,-0.249837
940GZZLUNGW,North Greenwich Underground Station,NaptanMetroStation,51.50047,0.004287
940GZZLUQBY,Queensbury Underground Station,NaptanMetroStation,51.594188,-0.286219
940GZZLUSJW,St. John's Wood Underground Station,NaptanMetroStation,51.534521,-0.173948
940GZZLUSTD,Stratford Underground Station,NaptanMetroStation,51.541806,-0.003458
940GZZLUSTM,Stanmore Underground Station,NaptanMetroStation,51.619839,-0.303266
940GZZLUSWC,Swiss Cottage Underground Station,NaptanMetroStation,51.543681,-0.174894
940GZZLUSWK,Southwark Underground Station,NaptanMetroStation,51.50427,-0.105331
940GZZLUWHM,West Ham Underground Station,NaptanMetroStation,51.528136,0.005055
940GZZLUWHP,West Hampstead Underground Station,NaptanMetroStation,51.546638,-0.191059
940GZZLUWIG,Willesden Green Underground Station,NaptanMetroStation,51.549146,-0.221537
940GZZLUWLO,Waterloo Underground Station,NaptanMetroStation,51.503299,-0.11478
940GZZLUWSM,Westminster Underground Station,NaptanMetroStation,51.50132,-0.124861
940GZZLUWYP,Wembley Park Underground Station,NaptanMetroStation,51.563198,-0.279262
