node1,node2,tstart,tend,line,
96 St,86 St,13,15,Broadway Express to 86 St
86 St,72 St,15,17,Broadway Express to 72 St
72 St,Lexington Av/63 St,17,19,Broadway Express to Lexington Av/63 St
Lexington Av/63 St,57 St-7 Av,19,22,Broadway Express to 57 St-7 Av
57 St-7 Av,49 St,22,23,Broadway Express to 49 St
49 St,Times Sq-42 St,23,25,Broadway Express to Times Sq-42 St
Times Sq-42 St,34 St-Herald Sq,25,26,Broadway Express to 34 St-Herald Sq
34 St-Herald Sq,28 St,26,27,Broadway Express to 28 St
28 St,23 St,27,28,Broadway Express to 23 St
23 St,14 St-Union Sq,28,30,Broadway Express to 14 St-Union Sq
14 St-Union Sq,8 St-NYU,30,31,Broadway Express to 8 St-NYU
8 St-NYU,Prince St,31,33,Broadway Express to Prince St
Prince St,Canal St,33,35,Broadway Express to Canal St
Canal St,DeKalb Av,35,43,Broadway Express to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,43,44,Broadway Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,7 Av,44,47,Broadway Express to 7 Av
7 Av,Prospect Park,47,51,Broadway Express to Prospect Park
Prospect Park,Parkside Av,51,52,Broadway Express to Parkside Av
Parkside Av,Church Av,52,54,Broadway Express to Church Av
Church Av,Beverley Rd,54,55,Broadway Express to Beverley Rd
Beverley Rd,Cortelyou Rd,55,56,Broadway Express to Cortelyou Rd
Cortelyou Rd,Newkirk Plaza,56,57,Broadway Express to Newkirk Plaza
Newkirk Plaza,Avenue H,57,59,Broadway Express to Avenue H
Avenue H,Avenue J,59,60,Broadway Express to Avenue J
Avenue J,Avenue M,60,62,Broadway Express to Avenue M
Avenue M,Kings Hwy,62,64,Broadway Express to Kings Hwy
Kings Hwy,Avenue U,64,66,Broadway Express to Avenue U
Avenue U,Neck Rd,66,67,Broadway Express to Neck Rd
Neck Rd,Sheepshead Bay,67,70,Broadway Express to Sheepshead Bay
Sheepshead Bay,Brighton Beach,70,72,Broadway Express to Brighton Beach
Brighton Beach,Ocean Pkwy,73,75,Broadway Express to Ocean Pkwy
Ocean Pkwy,W 8 St-NY Aquarium,75,77,Broadway Express to W 8 St-NY Aquarium
