node1,node2,tstart,tend,line,
Harlem-148 St,145 St,3,4,7 Avenue Express to 145 St
145 St,135 St,4,6,7 Avenue Express to 135 St
135 St,125 St,6,8,7 Avenue Express to 125 St
125 St,116 St,8,9,7 Avenue Express to 116 St
116 St,Central Park North (110 St),9,10,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),96 St,10,14,7 Avenue Express to 96 St
96 St,72 St,14,17,7 Avenue Express to 72 St
72 St,Times Sq-42 St,21,25,7 Avenue Express to Times Sq-42 St
Harlem-148 St,145 St,23,24,7 Avenue Express to 145 St
145 St,135 St,24,26,7 Avenue Express to 135 St
135 St,125 St,26,28,7 Avenue Express to 125 St
125 St,116 St,28,29,7 Avenue Express to 116 St
116 St,Central Park North (110 St),29,30,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),96 St,30,34,7 Avenue Express to 96 St
96 St,72 St,34,37,7 Avenue Express to 72 St
72 St,Times Sq-42 St,41,45,7 Avenue Express to Times Sq-42 St
Harlem-148 St,145 St,43,44,7 Avenue Express to 145 St
145 St,135 St,44,46,7 Avenue Express to 135 St
135 St,125 St,46,48,7 Avenue Express to 125 St
125 St,116 St,48,49,7 Avenue Express to 116 St
116 St,Central Park North (110 St),49,50,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),96 St,50,54,7 Avenue Express to 96 St
96 St,72 St,54,57,7 Avenue Express to 72 St
72 St,Times Sq-42 St,61,65,7 Avenue Express to Times Sq-42 St
Times Sq-42 St,72 St,47,50,7 Avenue Express to 72 St
72 St,96 St,50,53,7 Avenue Express to 96 St
96 St,Central Park North (110 St),53,57,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),116 St,57,58,7 Avenue Express to 116 St
116 St,125 St,58,59,7 Avenue Express to 125 St
125 St,135 St,59,61,7 Avenue Express to 135 St
135 St,145 St,61,63,7 Avenue Express to 145 St
145 St,Harlem-148 St,67,69,7 Avenue Express to Harlem-148 St
Harlem-148 St,145 St,63,64,7 Avenue Express to 145 St
145 St,135 St,64,66,7 Avenue Express to 135 St
135 St,125 St,66,68,7 Avenue Express to 125 St
125 St,116 St,68,69,7 Avenue Express to 116 St
116 St,Central Park North (110 St),69,70,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),96 St,70,74,7 Avenue Express to 96 St
96 St,72 St,74,77,7 Avenue Express to 72 St
72 St,Times Sq-42 St,81,85,7 Avenue Express to Times Sq-42 St
Times Sq-42 St,72 St,67,70,7 Avenue Express to 72 St
72 St,96 St,70,73,7 Avenue Express to 96 St
96 St,Central Park North (110 St),73,77,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),116 St,77,78,7 Avenue Express to 116 St
116 St,125 St,78,79,7 Avenue Express to 125 St
125 St,135 St,79,81,7 Avenue Express to 135 St
135 St,145 St,81,83,7 Avenue Express to 145 St
145 St,Harlem-148 St,87,89,7 Avenue Express to Harlem-148 St
Harlem-148 St,145 St,83,84,7 Avenue Express to 145 St
145 St,135 St,84,86,7 Avenue Express to 135 St
135 St,125 St,86,88,7 Avenue Express to 125 St
125 St,116 St,88,89,7 Avenue Express to 116 St
116 St,Central Park North (110 St),89,90,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),96 St,90,94,7 Avenue Express to 96 St
96 St,72 St,94,97,7 Avenue Express to 72 St
72 St,Times Sq-42 St,101,105,7 Avenue Express to Times Sq-42 St
Times Sq-42 St,72 St,87,90,7 Avenue Express to 72 St
72 St,96 St,90,93,7 Avenue Express to 96 St
96 St,Central Park North (110 St),93,97,7 Avenue Express to Central Park North (110 St)
Central Park North (110 St),116 St,97,98,7 Avenue Express to 116 St
116 St,125 St,98,99,7 Avenue Express to 125 St
125 St,135 St,99,101,7 Avenue Express to 135 St
135 St,145 St,101,103,7 Avenue Express to 145 St
145 St,Harlem-148 St,107,109,7 Avenue Express to Harlem-148 St
Harlem-148 St,145 St,103,104,7 Avenue Express to 145 St
145 St,135 St,104,106,7 Avenue Express to 135 St
135 St,125 St,106,108,7 Avenue Express to 125 St
