label,id,lat,lon,
Myrtle Av,M11N,40.697207,-73.935657
Central Av,M10N,40.697857,-73.927397
Knickerbocker Av,M09N,40.698664,-73.919711
Myrtle-Wyckoff Avs,M08N,40.69943,-73.912385
Seneca Av,M06N,40.702762,-73.90774
Forest Av,M05N,40.704423,-73.903077
Fresh Pond Rd,M04N,40.706186,-73.895877
Middle Village-Metropolitan Av,M01N,40.711396,-73.889601
Flushing Av,M12S,40.70026,-73.941126
Lorimer St,M13S,40.703869,-73.947408
Hewes St,M14S,40.70687,-73.953431
Marcy Av,M16S,40.708359,-73.957757
Delancey St-Essex St,M18S,40.718315,-73.987437
