node1,node2,tstart,tend,line,
Coney Island-Stillwell Av,W 8 St-NY Aquarium,121,123,Queens Blvd Express/ 6 Av Local to W 8 St-NY Aquarium
W 8 St-NY Aquarium,Neptune Av,123,124,Queens Blvd Express/ 6 Av Local to Neptune Av
Neptune Av,Avenue X,124,126,Queens Blvd Express/ 6 Av Local to Avenue X
Avenue X,Avenue U,126,128,Queens Blvd Express/ 6 Av Local to Avenue U
Avenue U,Kings Hwy,128,130,Queens Blvd Express/ 6 Av Local to Kings Hwy
Kings Hwy,Avenue P,130,131,Queens Blvd Express/ 6 Av Local to Avenue P
Avenue P,Avenue N,131,133,Queens Blvd Express/ 6 Av Local to Avenue N
Avenue N,Bay Pkwy,133,134,Queens Blvd Express/ 6 Av Local to Bay Pkwy
Bay Pkwy,Avenue I,134,135,Queens Blvd Express/ 6 Av Local to Avenue I
Avenue I,18 Av,135,136,Queens Blvd Express/ 6 Av Local to 18 Av
18 Av,Ditmas Av,136,138,Queens Blvd Express/ 6 Av Local to Ditmas Av
Ditmas Av,Church Av,138,140,Queens Blvd Express/ 6 Av Local to Church Av
Church Av,Fort Hamilton Pkwy,140,141,Queens Blvd Express/ 6 Av Local to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,141,144,Queens Blvd Express/ 6 Av Local to 15 St-Prospect Park
15 St-Prospect Park,7 Av,144,145,Queens Blvd Express/ 6 Av Local to 7 Av
7 Av,4 Av-9 St,145,147,Queens Blvd Express/ 6 Av Local to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,147,148,Queens Blvd Express/ 6 Av Local to Smith-9 Sts
Smith-9 Sts,Carroll St,148,150,Queens Blvd Express/ 6 Av Local to Carroll St
Carroll St,Bergen St,150,152,Queens Blvd Express/ 6 Av Local to Bergen St
Bergen St,Jay St-MetroTech,152,154,Queens Blvd Express/ 6 Av Local to Jay St-MetroTech
Jay St-MetroTech,York St,154,155,Queens Blvd Express/ 6 Av Local to York St
York St,East Broadway,155,158,Queens Blvd Express/ 6 Av Local to East Broadway
East Broadway,Delancey St-Essex St,158,159,Queens Blvd Express/ 6 Av Local to Delancey St-Essex St
Delancey St-Essex St,2 Av,159,160,Queens Blvd Express/ 6 Av Local to 2 Av
2 Av,Broadway-Lafayette St,160,162,Queens Blvd Express/ 6 Av Local to Broadway-Lafayette St
Broadway-Lafayette St,W 4 St-Wash Sq,162,164,Queens Blvd Express/ 6 Av Local to W 4 St-Wash Sq
W 4 St-Wash Sq,14 St,164,166,Queens Blvd Express/ 6 Av Local to 14 St
14 St,23 St,166,167,Queens Blvd Express/ 6 Av Local to 23 St
23 St,34 St-Herald Sq,167,169,Queens Blvd Express/ 6 Av Local to 34 St-Herald Sq
34 St-Herald Sq,42 St-Bryant Pk,169,170,Queens Blvd Express/ 6 Av Local to 42 St-Bryant Pk
42 St-Bryant Pk,47-50 Sts-Rockefeller Ctr,170,172,Queens Blvd Express/ 6 Av Local to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,57 St,172,173,Queens Blvd Express/ 6 Av Local to 57 St
57 St,Lexington Av/63 St,173,176,Queens Blvd Express/ 6 Av Local to Lexington Av/63 St
Lexington Av/63 St,Roosevelt Island,176,178,Queens Blvd Express/ 6 Av Local to Roosevelt Island
Roosevelt Island,21 St-Queensbridge,178,180,Queens Blvd Express/ 6 Av Local to 21 St-Queensbridge
21 St-Queensbridge,Jackson Hts-Roosevelt Av,180,186,Queens Blvd Express/ 6 Av Local to Jackson Hts-Roosevelt Av
Jackson Hts-Roosevelt Av,Forest Hills-71 Av,186,193,Queens Blvd Express/ 6 Av Local to Forest Hills-71 Av
Forest Hills-71 Av,75 Av,193,195,Queens Blvd Express/ 6 Av Local to 75 Av
75 Av,Kew Gardens-Union Tpke,195,197,Queens Blvd Express/ 6 Av Local to Kew Gardens-Union Tpke
Kew Gardens-Union Tpke,Briarwood,197,199,Queens Blvd Express/ 6 Av Local to Briarwood
Briarwood,Sutphin Blvd,199,200,Queens Blvd Express/ 6 Av Local to Sutphin Blvd
