label,id,lat,lon,
Flushing-Main St,701S,40.7596,-73.83003
Mets-Willets Point,702S,40.754622,-73.845625
111 St,705S,40.75173,-73.855334
103 St-Corona Plaza,706S,40.749865,-73.8627
Junction Blvd,707S,40.749145,-73.869527
90 St-Elmhurst Av,708S,40.748408,-73.876613
82 St-Jackson Hts,709S,40.747659,-73.883697
74 St-Broadway,710S,40.746848,-73.891394
69 St,711S,40.746325,-73.896403
Woodside-61 St,712S,40.74563,-73.902984
52 St,713S,40.744149,-73.912549
46 St-Bliss St,714S,40.743132,-73.918435
40 St-Lowery St,715S,40.743781,-73.924016
33 St-Rawson St,716S,40.744587,-73.930997
Queensboro Plaza,718S,40.750582,-73.940202
Court Sq,719S,40.747023,-73.945264
Hunters Point Av,720S,40.742216,-73.948916
Vernon Blvd-Jackson Av,721S,40.742626,-73.953581
Grand Central-42 St,723S,40.751431,-73.976041
5 Av,724S,40.753821,-73.981963
Times Sq-42 St,725S,40.755477,-73.987691
34 St-Hudson Yards,726S,40.755882,-74.00191
