label,id,lat,lon,
Court Sq,G22S,40.746554,-73.943832
21 St,G24S,40.744065,-73.949724
Greenpoint Av,G26S,40.731352,-73.954449
Nassau Av,G28S,40.724635,-73.951277
Metropolitan Av,G29S,40.712792,-73.951418
Broadway,G30S,40.706092,-73.950308
Flushing Av,G31S,40.700377,-73.950234
Myrtle-Willoughby Avs,G32S,40.694568,-73.949046
Bedford-Nostrand Avs,G33S,40.689627,-73.953522
Classon Av,G34S,40.688873,-73.96007
Clinton-Washington Avs,G35S,40.688089,-73.966839
Fulton St,G36S,40.687119,-73.975375
Hoyt-Schermerhorn Sts,A42S,40.688484,-73.985001
Bergen St,F20S,40.686145,-73.990862
Carroll St,F21S,40.680303,-73.995048
Smith-9 Sts,F22S,40.67358,-73.995959
4 Av-9 St,F23S,40.670272,-73.989779
7 Av,F24S,40.666271,-73.980305
15 St-Prospect Park,F25S,40.660365,-73.979493
Fort Hamilton Pkwy,F26S,40.650782,-73.975776
Church Av,F27S,40.644041,-73.979678
