label,id,lat,lon,
Inwood-207 St,A02N,40.868072,-73.919899
Dyckman St,A03N,40.865491,-73.927271
190 St,A05N,40.859022,-73.93418
181 St,A06N,40.851695,-73.937969
175 St,A07N,40.847391,-73.939704
168 St,A09N,40.840719,-73.939561
163 St-Amsterdam Av,A10N,40.836013,-73.939892
155 St,A11N,40.830518,-73.941514
145 St,A12N,40.824783,-73.944216
135 St,A14N,40.817894,-73.947649
125 St,A15N,40.811109,-73.952343
116 St,A16N,40.805085,-73.954882
Cathedral Pkwy (110 St),A17N,40.800603,-73.958161
103 St,A18N,40.796092,-73.961454
96 St,A19N,40.791642,-73.964696
86 St,A20N,40.785868,-73.968916
81 St-Museum of Natural History,A21N,40.781433,-73.972143
72 St,A22N,40.775594,-73.97641
59 St-Columbus Circle,A24N,40.768296,-73.981736
50 St,A25N,40.762456,-73.985984
42 St-Port Authority Bus Terminal,A27N,40.757308,-73.989735
34 St-Penn Station,A28N,40.752287,-73.993391
23 St,A30N,40.745906,-73.998041
14 St,A31N,40.740893,-74.00169
W 4 St-Wash Sq,A32N,40.732338,-74.000495
Spring St,A33N,40.726227,-74.003739
Canal St,A34N,40.720824,-74.005229
Chambers St,A36N,40.714111,-74.008585
Fulton St,A38N,40.710197,-74.007691
High St,A40N,40.699337,-73.990531
Jay St-MetroTech,A41N,40.692338,-73.987342
Hoyt-Schermerhorn Sts,A42N,40.688484,-73.985001
Lafayette Av,A43N,40.686113,-73.973946
Clinton-Washington Avs,A44N,40.683263,-73.965838
Franklin Av,A45N,40.68138,-73.956848
Nostrand Av,A46N,40.680438,-73.950426
Kingston-Throop Avs,A47N,40.679921,-73.940858
Utica Av,A48N,40.679364,-73.930729
Ralph Av,A49N,40.678822,-73.920786
Rockaway Av,A50N,40.67834,-73.911946
Broadway Junction,A51N,40.678334,-73.905316
Liberty Av,A52N,40.674542,-73.896548
Van Siclen Av,A53N,40.67271,-73.890358
Shepherd Av,A54N,40.67413,-73.88075
Euclid Av,A55N,40.675377,-73.872106
Grant Av,A57N,40.677044,-73.86505
80 St,A59N,40.679371,-73.858992
88 St,A60N,40.679843,-73.85147
Rockaway Blvd,A61N,40.680429,-73.843853
Aqueduct-N Conduit Av,H02N,40.668234,-73.834058
Howard Beach-JFK Airport,H03N,40.660476,-73.830301
Broad Channel,H04N,40.608382,-73.815925
Beach 67 St,H06N,40.590927,-73.796924
Beach 60 St,H07N,40.592374,-73.788522
Beach 44 St,H08N,40.592943,-73.776013
Beach 36 St,H09N,40.595398,-73.768175
Beach 25 St,H10N,40.600066,-73.761353
Far Rockaway-Mott Av,H11N,40.603995,-73.755405
Ozone Park-Lefferts Blvd,A65S,40.685951,-73.825798
111 St,A64S,40.684331,-73.832163
104 St,A63S,40.681711,-73.837683
Aqueduct Racetrack,H01N,40.668234,-73.834058
