node1,node2,tstart,tend,line,
168 St,163 St-Amsterdam Av,419,420,8 Avenue Local to 163 St-Amsterdam Av
163 St-Amsterdam Av,155 St,420,421,8 Avenue Local to 155 St
155 St,145 St,421,422,8 Avenue Local to 145 St
145 St,135 St,422,424,8 Avenue Local to 135 St
135 St,125 St,424,426,8 Avenue Local to 125 St
125 St,116 St,426,427,8 Avenue Local to 116 St
116 St,Cathedral Pkwy (110 St),427,429,8 Avenue Local to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),103 St,429,430,8 Avenue Local to 103 St
103 St,96 St,430,431,8 Avenue Local to 96 St
96 St,86 St,431,433,8 Avenue Local to 86 St
86 St,81 St-Museum of Natural History,433,434,8 Avenue Local to 81 St-Museum of Natural History
81 St-Museum of Natural History,72 St,434,436,8 Avenue Local to 72 St
72 St,59 St-Columbus Circle,436,437,8 Avenue Local to 59 St-Columbus Circle
59 St-Columbus Circle,50 St,437,439,8 Avenue Local to 50 St
50 St,42 St-Port Authority Bus Terminal,439,441,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,34 St-Penn Station,441,442,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,23 St,442,443,8 Avenue Local to 23 St
23 St,14 St,443,445,8 Avenue Local to 14 St
14 St,W 4 St-Wash Sq,445,447,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,Spring St,447,448,8 Avenue Local to Spring St
Spring St,Canal St,448,450,8 Avenue Local to Canal St
Canal St,Chambers St,450,452,8 Avenue Local to Chambers St
Chambers St,Fulton St,452,454,8 Avenue Local to Fulton St
Fulton St,High St,454,457,8 Avenue Local to High St
High St,Jay St-MetroTech,457,459,8 Avenue Local to Jay St-MetroTech
Jay St-MetroTech,Hoyt-Schermerhorn Sts,459,460,8 Avenue Local to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Lafayette Av,460,462,8 Avenue Local to Lafayette Av
Lafayette Av,Clinton-Washington Avs,462,464,8 Avenue Local to Clinton-Washington Avs
Clinton-Washington Avs,Franklin Av,464,465,8 Avenue Local to Franklin Av
Franklin Av,Nostrand Av,465,466,8 Avenue Local to Nostrand Av
Nostrand Av,Kingston-Throop Avs,466,468,8 Avenue Local to Kingston-Throop Avs
Kingston-Throop Avs,Utica Av,468,470,8 Avenue Local to Utica Av
Utica Av,Ralph Av,470,472,8 Avenue Local to Ralph Av
Ralph Av,Rockaway Av,472,473,8 Avenue Local to Rockaway Av
Rockaway Av,Broadway Junction,473,475,8 Avenue Local to Broadway Junction
Broadway Junction,Liberty Av,480,482,8 Avenue Local to Liberty Av
Liberty Av,Van Siclen Av,482,483,8 Avenue Local to Van Siclen Av
Van Siclen Av,Shepherd Av,483,485,8 Avenue Local to Shepherd Av
Shepherd Av,Euclid Av,485,486,8 Avenue Local to Euclid Av
Euclid Av,Shepherd Av,433,434,8 Avenue Local to Shepherd Av
Shepherd Av,Van Siclen Av,434,436,8 Avenue Local to Van Siclen Av
Van Siclen Av,Liberty Av,436,437,8 Avenue Local to Liberty Av
Liberty Av,Broadway Junction,437,439,8 Avenue Local to Broadway Junction
Broadway Junction,Rockaway Av,439,440,8 Avenue Local to Rockaway Av
Rockaway Av,Ralph Av,440,442,8 Avenue Local to Ralph Av
Ralph Av,Utica Av,442,444,8 Avenue Local to Utica Av
Utica Av,Kingston-Throop Avs,444,445,8 Avenue Local to Kingston-Throop Avs
Kingston-Throop Avs,Nostrand Av,445,447,8 Avenue Local to Nostrand Av
Nostrand Av,Franklin Av,447,448,8 Avenue Local to Franklin Av
Franklin Av,Clinton-Washington Avs,448,449,8 Avenue Local to Clinton-Washington Avs
Clinton-Washington Avs,Lafayette Av,449,451,8 Avenue Local to Lafayette Av
Lafayette Av,Hoyt-Schermerhorn Sts,451,452,8 Avenue Local to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Jay St-MetroTech,452,454,8 Avenue Local to Jay St-MetroTech
Jay St-MetroTech,High St,454,456,8 Avenue Local to High St
High St,Fulton St,456,459,8 Avenue Local to Fulton St
Fulton St,Chambers St,459,461,8 Avenue Local to Chambers St
Chambers St,Canal St,461,462,8 Avenue Local to Canal St
Canal St,Spring St,462,464,8 Avenue Local to Spring St
Spring St,W 4 St-Wash Sq,464,466,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,14 St,466,468,8 Avenue Local to 14 St
14 St,23 St,468,469,8 Avenue Local to 23 St
23 St,34 St-Penn Station,469,471,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,42 St-Port Authority Bus Terminal,471,472,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,50 St,472,474,8 Avenue Local to 50 St
50 St,59 St-Columbus Circle,474,476,8 Avenue Local to 59 St-Columbus Circle
59 St-Columbus Circle,72 St,476,477,8 Avenue Local to 72 St
72 St,81 St-Museum of Natural History,477,479,8 Avenue Local to 81 St-Museum of Natural History
81 St-Museum of Natural History,86 St,479,480,8 Avenue Local to 86 St
86 St,96 St,480,482,8 Avenue Local to 96 St
96 St,103 St,482,483,8 Avenue Local to 103 St
103 St,Cathedral Pkwy (110 St),483,484,8 Avenue Local to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),116 St,484,486,8 Avenue Local to 116 St
116 St,125 St,486,487,8 Avenue Local to 125 St
125 St,135 St,487,489,8 Avenue Local to 135 St
135 St,145 St,489,490,8 Avenue Local to 145 St
145 St,155 St,495,497,8 Avenue Local to 155 St
155 St,163 St-Amsterdam Av,497,498,8 Avenue Local to 163 St-Amsterdam Av
163 St-Amsterdam Av,168 St,498,500,8 Avenue Local to 168 St
168 St,163 St-Amsterdam Av,439,440,8 Avenue Local to 163 St-Amsterdam Av
163 St-Amsterdam Av,155 St,440,441,8 Avenue Local to 155 St
155 St,145 St,441,442,8 Avenue Local to 145 St
145 St,135 St,442,444,8 Avenue Local to 135 St
135 St,125 St,444,446,8 Avenue Local to 125 St
125 St,116 St,446,447,8 Avenue Local to 116 St
116 St,Cathedral Pkwy (110 St),447,449,8 Avenue Local to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),103 St,449,450,8 Avenue Local to 103 St
103 St,96 St,450,451,8 Avenue Local to 96 St
96 St,86 St,451,453,8 Avenue Local to 86 St
86 St,81 St-Museum of Natural History,453,454,8 Avenue Local to 81 St-Museum of Natural History
81 St-Museum of Natural History,72 St,454,456,8 Avenue Local to 72 St
72 St,59 St-Columbus Circle,456,457,8 Avenue Local to 59 St-Columbus Circle
59 St-Columbus Circle,50 St,457,459,8 Avenue Local to 50 St
50 St,42 St-Port Authority Bus Terminal,459,461,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,34 St-Penn Station,461,462,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,23 St,462,463,8 Avenue Local to 23 St
23 St,14 St,463,465,8 Avenue Local to 14 St
14 St,W 4 St-Wash Sq,465,467,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,Spring St,467,469,8 Avenue Local to Spring St
Spring St,Canal St,469,470,8 Avenue Local to Canal St
Canal St,Chambers St,470,472,8 Avenue Local to Chambers St
Chambers St,Fulton St,472,474,8 Avenue Local to Fulton St
Fulton St,High St,474,477,8 Avenue Local to High St
High St,Jay St-MetroTech,477,479,8 Avenue Local to Jay St-MetroTech
Jay St-MetroTech,Hoyt-Schermerhorn Sts,479,481,8 Avenue Local to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Lafayette Av,481,483,8 Avenue Local to Lafayette Av
Lafayette Av,Clinton-Washington Avs,483,484,8 Avenue Local to Clinton-Washington Avs
Clinton-Washington Avs,Franklin Av,484,486,8 Avenue Local to Franklin Av
Franklin Av,Nostrand Av,486,487,8 Avenue Local to Nostrand Av
Nostrand Av,Kingston-Throop Avs,487,489,8 Avenue Local to Kingston-Throop Avs
Kingston-Throop Avs,Utica Av,489,490,8 Avenue Local to Utica Av
Utica Av,Ralph Av,490,492,8 Avenue Local to Ralph Av
Ralph Av,Rockaway Av,492,494,8 Avenue Local to Rockaway Av
Rockaway Av,Broadway Junction,494,495,8 Avenue Local to Broadway Junction
Broadway Junction,Liberty Av,500,502,8 Avenue Local to Liberty Av
Liberty Av,Van Siclen Av,502,504,8 Avenue Local to Van Siclen Av
Van Siclen Av,Shepherd Av,504,505,8 Avenue Local to Shepherd Av
Shepherd Av,Euclid Av,505,507,8 Avenue Local to Euclid Av
Euclid Av,Shepherd Av,453,454,8 Avenue Local to Shepherd Av
Shepherd Av,Van Siclen Av,454,456,8 Avenue Local to Van Siclen Av
Van Siclen Av,Liberty Av,456,457,8 Avenue Local to Liberty Av
Liberty Av,Broadway Junction,457,459,8 Avenue Local to Broadway Junction
Broadway Junction,Rockaway Av,460,461,8 Avenue Local to Rockaway Av
Rockaway Av,Ralph Av,461,463,8 Avenue Local to Ralph Av
Ralph Av,Utica Av,463,464,8 Avenue Local to Utica Av
Utica Av,Kingston-Throop Avs,464,466,8 Avenue Local to Kingston-Throop Avs
Kingston-Throop Avs,Nostrand Av,466,467,8 Avenue Local to Nostrand Av
Nostrand Av,Franklin Av,467,468,8 Avenue Local to Franklin Av
Franklin Av,Clinton-Washington Avs,468,470,8 Avenue Local to Clinton-Washington Avs
Clinton-Washington Avs,Lafayette Av,470,471,8 Avenue Local to Lafayette Av
Lafayette Av,Hoyt-Schermerhorn Sts,471,473,8 Avenue Local to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Jay St-MetroTech,473,474,8 Avenue Local to Jay St-MetroTech
Jay St-MetroTech,High St,474,476,8 Avenue Local to High St
High St,Fulton St,476,479,8 Avenue Local to Fulton St
Fulton St,Chambers St,479,481,8 Avenue Local to Chambers St
Chambers St,Canal St,481,483,8 Avenue Local to Canal St
Canal St,Spring St,483,484,8 Avenue Local to Spring St
Spring St,W 4 St-Wash Sq,484,486,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,14 St,486,488,8 Avenue Local to 14 St
14 St,23 St,488,490,8 Avenue Local to 23 St
23 St,34 St-Penn Station,490,492,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,42 St-Port Authority Bus Terminal,492,493,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,50 St,493,494,8 Avenue Local to 50 St
50 St,59 St-Columbus Circle,494,496,8 Avenue Local to 59 St-Columbus Circle
59 St-Columbus Circle,72 St,496,498,8 Avenue Local to 72 St
72 St,81 St-Museum of Natural History,498,499,8 Avenue Local to 81 St-Museum of Natural History
81 St-Museum of Natural History,86 St,499,501,8 Avenue Local to 86 St
86 St,96 St,501,502,8 Avenue Local to 96 St
96 St,103 St,502,504,8 Avenue Local to 103 St
103 St,Cathedral Pkwy (110 St),504,505,8 Avenue Local to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),116 St,505,506,8 Avenue Local to 116 St
116 St,125 St,506,508,8 Avenue Local to 125 St
125 St,135 St,508,509,8 Avenue Local to 135 St
135 St,145 St,509,511,8 Avenue Local to 145 St
145 St,155 St,516,517,8 Avenue Local to 155 St
155 St,163 St-Amsterdam Av,517,519,8 Avenue Local to 163 St-Amsterdam Av
163 St-Amsterdam Av,168 St,519,520,8 Avenue Local to 168 St
168 St,163 St-Amsterdam Av,459,460,8 Avenue Local to 163 St-Amsterdam Av
163 St-Amsterdam Av,155 St,460,461,8 Avenue Local to 155 St
155 St,145 St,461,462,8 Avenue Local to 145 St
145 St,135 St,462,464,8 Avenue Local to 135 St
135 St,125 St,464,466,8 Avenue Local to 125 St
125 St,116 St,466,467,8 Avenue Local to 116 St
116 St,Cathedral Pkwy (110 St),467,469,8 Avenue Local to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),103 St,469,470,8 Avenue Local to 103 St
103 St,96 St,470,471,8 Avenue Local to 96 St
96 St,86 St,471,473,8 Avenue Local to 86 St
86 St,81 St-Museum of Natural History,473,474,8 Avenue Local to 81 St-Museum of Natural History
81 St-Museum of Natural History,72 St,474,476,8 Avenue Local to 72 St
72 St,59 St-Columbus Circle,476,477,8 Avenue Local to 59 St-Columbus Circle
59 St-Columbus Circle,50 St,477,479,8 Avenue Local to 50 St
50 St,42 St-Port Authority Bus Terminal,479,481,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,34 St-Penn Station,481,482,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,23 St,482,483,8 Avenue Local to 23 St
23 St,14 St,483,485,8 Avenue Local to 14 St
14 St,W 4 St-Wash Sq,485,487,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,Spring St,487,488,8 Avenue Local to Spring St
Spring St,Canal St,488,490,8 Avenue Local to Canal St
Canal St,Chambers St,490,492,8 Avenue Local to Chambers St
Chambers St,Fulton St,492,494,8 Avenue Local to Fulton St
Fulton St,High St,494,497,8 Avenue Local to High St
