node1,node2,tstart,tend,line,
Broad St,Fulton St,75,76,Nassau St Local to Fulton St
Fulton St,Chambers St,76,78,Nassau St Local to Chambers St
Chambers St,Canal St,78,80,Nassau St Local to Canal St
Canal St,Bowery,80,82,Nassau St Local to Bowery
Bowery,Delancey St-Essex St,82,83,Nassau St Local to Delancey St-Essex St
Delancey St-Essex St,Marcy Av,83,91,Nassau St Local to Marcy Av
Marcy Av,Hewes St,91,92,Nassau St Local to Hewes St
Hewes St,Lorimer St,92,93,Nassau St Local to Lorimer St
Lorimer St,Flushing Av,93,95,Nassau St Local to Flushing Av
Flushing Av,Myrtle Av,95,96,Nassau St Local to Myrtle Av
Myrtle Av,Kosciuszko St,96,97,Nassau St Local to Kosciuszko St
Kosciuszko St,Gates Av,97,99,Nassau St Local to Gates Av
Gates Av,Halsey St,99,100,Nassau St Local to Halsey St
Halsey St,Chauncey St,100,102,Nassau St Local to Chauncey St
Chauncey St,Broadway Junction,102,103,Nassau St Local to Broadway Junction
Broadway Junction,Alabama Av,105,107,Nassau St Local to Alabama Av
Alabama Av,Van Siclen Av,107,109,Nassau St Local to Van Siclen Av
Van Siclen Av,Cleveland St,109,110,Nassau St Local to Cleveland St
Cleveland St,Norwood Av,110,111,Nassau St Local to Norwood Av
Norwood Av,Crescent St,111,113,Nassau St Local to Crescent St
Crescent St,Cypress Hills,113,115,Nassau St Local to Cypress Hills
Cypress Hills,75 St-Elderts Ln,115,116,Nassau St Local to 75 St-Elderts Ln
75 St-Elderts Ln,85 St-Forest Pkwy,116,118,Nassau St Local to 85 St-Forest Pkwy
85 St-Forest Pkwy,Woodhaven Blvd,118,119,Nassau St Local to Woodhaven Blvd
Woodhaven Blvd,104 St,119,121,Nassau St Local to 104 St
104 St,111 St,121,123,Nassau St Local to 111 St
111 St,121 St,123,124,Nassau St Local to 121 St
121 St,Sutphin Blvd-Archer Av-JFK Airport,124,128,Nassau St Local to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,Jamaica Center-Parsons/Archer,128,129,Nassau St Local to Jamaica Center-Parsons/Archer
Broad St,Fulton St,95,96,Nassau St Local to Fulton St
Fulton St,Chambers St,96,98,Nassau St Local to Chambers St
Chambers St,Canal St,98,100,Nassau St Local to Canal St
