label,id,lat,lon,
Canarsie-Rockaway Pkwy,L29N,40.646654,-73.90185
East 105 St,L28N,40.650573,-73.899485
New Lots Av,L27N,40.658733,-73.899232
Livonia Av,L26N,40.664038,-73.900571
Sutter Av,L25N,40.669367,-73.901975
Atlantic Av,L24N,40.675345,-73.903097
Broadway Junction,L22N,40.678856,-73.90324
Bushwick Av-Aberdeen St,L21N,40.682829,-73.905249
Wilson Av,L20N,40.688764,-73.904046
Halsey St,L19N,40.695602,-73.904084
Myrtle-Wyckoff Avs,L17N,40.699814,-73.911586
DeKalb Av,L16N,40.703811,-73.918425
Jefferson St,L15N,40.706607,-73.922913
Morgan Av,L14N,40.706152,-73.933147
Montrose Av,L13N,40.707739,-73.93985
Grand St,L12N,40.711926,-73.94067
Graham Av,L11N,40.714565,-73.944053
Lorimer St,L10N,40.714063,-73.950275
Bedford Av,L08N,40.717304,-73.956872
1 Av,L06N,40.730953,-73.981628
3 Av,L05N,40.732849,-73.986122
14 St-Union Sq.,L03N,40.734789,-73.99073
6 Av,L02N,40.737335,-73.996786
8 Av,L01N,40.739777,-74.002578
