label,id,lat,lon,
Wakefield-241 St,201S,40.903125,-73.85062
Nereid Av,204S,40.898379,-73.854376
233 St,205S,40.893193,-73.857473
225 St,206S,40.888022,-73.860341
219 St,207S,40.883895,-73.862633
Gun Hill Rd,208S,40.87785,-73.866256
Burke Av,209S,40.871356,-73.867164
Allerton Av,210S,40.865462,-73.867352
Pelham Pkwy,211S,40.857192,-73.867615
Bronx Park East,212S,40.848828,-73.868457
E 180 St,213S,40.841894,-73.873488
West Farms Sq-E Tremont Av,214S,40.840295,-73.880049
174 St,215S,40.837288,-73.887734
Freeman St,216S,40.829993,-73.891865
Simpson St,217S,40.824073,-73.893064
Intervale Av,218S,40.822181,-73.896736
Prospect Av,219S,40.819585,-73.90177
Jackson Av,220S,40.81649,-73.907807
3 Av-149 St,221S,40.816109,-73.917757
149 St-Grand Concourse,222S,40.81841,-73.926718
135 St,224S,40.814229,-73.94077
125 St,225S,40.807754,-73.945495
116 St,226S,40.802098,-73.949625
Central Park North (110 St),227S,40.799075,-73.951822
96 St,120S,40.793919,-73.972323
86 St,121S,40.788644,-73.976218
79 St,122S,40.783934,-73.979917
72 St,123S,40.778453,-73.98197
66 St-Lincoln Center,124S,40.77344,-73.982209
59 St-Columbus Circle,125S,40.768247,-73.981929
50 St,126S,40.761728,-73.983849
Times Sq-42 St,127S,40.75529,-73.987495
34 St-Penn Station,128S,40.750373,-73.991057
28 St,129S,40.747215,-73.993365
23 St,130S,40.744081,-73.995657
18 St,131S,40.74104,-73.997871
14 St,132S,40.737826,-74.000201
Christopher St-Sheridan Sq,133S,40.733422,-74.002906
Houston St,134S,40.728251,-74.005367
Canal St,135S,40.722854,-74.006277
Franklin St,136S,40.719318,-74.006886
Chambers St,137S,40.715478,-74.009266
Park Place,228S,40.713051,-74.008811
Fulton St,229S,40.709416,-74.006571
Wall St,230S,40.706821,-74.0091
Clark St,231S,40.697466,-73.993086
Borough Hall,232S,40.693219,-73.989998
Hoyt St,233S,40.690545,-73.985065
Nevins St,234S,40.688246,-73.980492
Atlantic Av-Barclays Ctr,235S,40.684359,-73.977666
Bergen St,236S,40.680829,-73.975098
Grand Army Plaza,237S,40.675235,-73.971046
Eastern Pkwy-Brooklyn Museum,238S,40.671987,-73.964375
Franklin Av-Medgar Evers College,239S,40.670682,-73.958131
President St-Medgar Evers College,241S,40.667883,-73.950683
Sterling St,242S,40.662742,-73.95085
Winthrop St,243S,40.656652,-73.9502
Church Av,244S,40.650843,-73.949575
Beverly Rd,245S,40.645098,-73.948959
Newkirk Av,246S,40.639967,-73.948411
Flatbush Av-Brooklyn College,247S,40.632836,-73.947642
Nostrand Av,248S,40.669847,-73.950466
Kingston Av,249S,40.669399,-73.942161
Crown Hts-Utica Av,250S,40.668897,-73.932942
Sutter Av-Rutland Rd,251S,40.664717,-73.92261
Saratoga Av,252S,40.661453,-73.916327
Rockaway Av,253S,40.662549,-73.908946
Junius St,254S,40.663515,-73.902447
Pennsylvania Av,255S,40.664635,-73.894895
Van Siclen Av,256S,40.665449,-73.889395
New Lots Av,257S,40.666235,-73.884079
