node1,node2,tstart,tend,line,
Eastchester-Dyre Av,Baychester Av,2,4,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,4,6,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,6,9,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,9,10,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,10,13,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,22,24,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,24,26,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,26,29,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,29,30,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,30,33,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,42,44,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,44,46,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,46,49,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,49,50,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,50,53,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,62,64,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,64,66,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,66,69,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,69,70,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,70,73,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,82,84,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,84,86,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,86,89,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,89,90,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,90,93,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,102,104,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,104,106,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,106,109,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,109,110,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,110,113,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,122,124,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,124,126,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,126,129,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,129,130,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,130,133,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,142,144,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,144,146,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,146,149,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,149,150,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,150,153,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,162,164,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,164,166,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,166,169,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,169,170,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,170,173,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,182,184,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,184,186,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,186,189,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,189,190,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,190,193,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,202,204,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,204,206,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,206,209,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,209,210,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,210,213,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,222,224,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,224,226,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,226,229,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,229,230,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,230,233,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,242,244,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,244,246,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,246,249,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,249,250,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,250,253,Lexington Avenue Express to E 180 St
Eastchester-Dyre Av,Baychester Av,262,264,Lexington Avenue Express to Baychester Av
Baychester Av,Gun Hill Rd,264,266,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Pelham Pkwy,266,269,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Morris Park,269,270,Lexington Avenue Express to Morris Park
Morris Park,E 180 St,270,273,Lexington Avenue Express to E 180 St
