node1,node2,tstart,tend,line,
Flushing-Main St,Mets-Willets Point,381,383,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,383,387,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,387,391,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,391,396,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,396,398,Flushing Express to Court Sq
Court Sq,Hunters Point Av,398,400,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,400,401,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,401,405,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,405,407,Flushing Express to 5 Av
5 Av,Times Sq-42 St,407,408,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,408,412,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,388,390,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,390,394,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,394,398,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,398,403,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,403,405,Flushing Express to Court Sq
Court Sq,Hunters Point Av,405,407,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,407,408,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,408,412,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,412,414,Flushing Express to 5 Av
5 Av,Times Sq-42 St,414,415,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,415,419,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,391,394,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,394,397,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,398,402,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,402,408,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,408,409,Flushing Express to Court Sq
Court Sq,Hunters Point Av,409,411,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,411,412,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,412,417,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,417,418,Flushing Express to 5 Av
5 Av,Times Sq-42 St,418,420,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,420,424,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,397,400,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,400,403,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,403,407,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,407,413,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,413,414,Flushing Express to Court Sq
Court Sq,Hunters Point Av,414,416,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,416,417,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,417,422,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,422,423,Flushing Express to 5 Av
5 Av,Times Sq-42 St,423,425,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,425,429,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,401,404,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,404,407,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,408,412,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,412,418,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,418,419,Flushing Express to Court Sq
Court Sq,Hunters Point Av,419,421,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,421,422,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,422,427,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,427,428,Flushing Express to 5 Av
5 Av,Times Sq-42 St,428,430,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,430,434,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,407,410,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,410,413,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,413,417,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,417,423,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,423,424,Flushing Express to Court Sq
Court Sq,Hunters Point Av,424,426,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,426,427,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,427,432,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,432,433,Flushing Express to 5 Av
5 Av,Times Sq-42 St,433,435,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,435,439,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,411,414,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,414,417,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,418,422,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,422,428,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,428,429,Flushing Express to Court Sq
Court Sq,Hunters Point Av,429,431,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,431,432,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,432,437,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,437,438,Flushing Express to 5 Av
5 Av,Times Sq-42 St,438,440,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,440,444,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,417,420,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,420,423,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,423,427,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,427,433,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,433,434,Flushing Express to Court Sq
Court Sq,Hunters Point Av,434,436,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,436,437,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,437,442,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,442,443,Flushing Express to 5 Av
5 Av,Times Sq-42 St,443,445,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,445,449,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,421,424,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,424,427,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,428,432,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,432,438,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,438,439,Flushing Express to Court Sq
Court Sq,Hunters Point Av,439,441,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,441,442,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,442,447,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,447,448,Flushing Express to 5 Av
5 Av,Times Sq-42 St,448,450,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,450,454,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,427,430,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,430,433,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,433,437,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,437,443,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,443,444,Flushing Express to Court Sq
Court Sq,Hunters Point Av,444,446,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,446,447,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,447,452,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,452,454,Flushing Express to 5 Av
5 Av,Times Sq-42 St,454,455,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,456,460,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,431,434,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,434,437,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,438,442,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,442,448,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,448,450,Flushing Express to Court Sq
Court Sq,Hunters Point Av,450,452,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,452,453,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,453,458,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,458,459,Flushing Express to 5 Av
5 Av,Times Sq-42 St,459,461,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,461,465,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,437,440,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,440,443,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,443,447,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,447,453,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,453,455,Flushing Express to Court Sq
Court Sq,Hunters Point Av,455,457,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,457,458,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,458,463,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,463,464,Flushing Express to 5 Av
5 Av,Times Sq-42 St,464,466,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,466,470,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,441,444,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,444,447,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,448,452,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,452,458,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,458,460,Flushing Express to Court Sq
Court Sq,Hunters Point Av,460,462,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,462,463,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,463,468,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,468,469,Flushing Express to 5 Av
5 Av,Times Sq-42 St,469,471,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,471,475,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,447,450,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,450,453,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,453,457,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,457,463,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,463,465,Flushing Express to Court Sq
Court Sq,Hunters Point Av,465,467,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,467,468,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,468,473,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,473,474,Flushing Express to 5 Av
5 Av,Times Sq-42 St,474,476,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,476,480,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,449,452,Flushing Express to Mets-Willets Point
Mets-Willets Point,Junction Blvd,452,455,Flushing Express to Junction Blvd
Junction Blvd,Woodside-61 St,458,462,Flushing Express to Woodside-61 St
Woodside-61 St,Queensboro Plaza,462,468,Flushing Express to Queensboro Plaza
Queensboro Plaza,Court Sq,468,470,Flushing Express to Court Sq
Court Sq,Hunters Point Av,470,472,Flushing Express to Hunters Point Av
Hunters Point Av,Vernon Blvd-Jackson Av,472,473,Flushing Express to Vernon Blvd-Jackson Av
Vernon Blvd-Jackson Av,Grand Central-42 St,473,478,Flushing Express to Grand Central-42 St
Grand Central-42 St,5 Av,478,479,Flushing Express to 5 Av
5 Av,Times Sq-42 St,479,481,Flushing Express to Times Sq-42 St
Times Sq-42 St,34 St-Hudson Yards,481,485,Flushing Express to 34 St-Hudson Yards
Flushing-Main St,Mets-Willets Point,455,458,Flushing Express to Mets-Willets Point
