node1,node2,tstart,tend,line,
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,12,14,8 Avenue Local to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,Jamaica-Van Wyck,14,16,8 Avenue Local to Jamaica-Van Wyck
Jamaica-Van Wyck,Briarwood,16,18,8 Avenue Local to Briarwood
Briarwood,Kew Gardens-Union Tpke,18,19,8 Avenue Local to Kew Gardens-Union Tpke
Kew Gardens-Union Tpke,75 Av,19,21,8 Avenue Local to 75 Av
75 Av,Forest Hills-71 Av,21,22,8 Avenue Local to Forest Hills-71 Av
Forest Hills-71 Av,67 Av,22,24,8 Avenue Local to 67 Av
67 Av,63 Dr-Rego Park,24,26,8 Avenue Local to 63 Dr-Rego Park
63 Dr-Rego Park,Woodhaven Blvd,26,27,8 Avenue Local to Woodhaven Blvd
Woodhaven Blvd,Grand Av-Newtown,27,29,8 Avenue Local to Grand Av-Newtown
Grand Av-Newtown,Elmhurst Av,29,30,8 Avenue Local to Elmhurst Av
Elmhurst Av,Jackson Hts-Roosevelt Av,30,32,8 Avenue Local to Jackson Hts-Roosevelt Av
Jackson Hts-Roosevelt Av,65 St,32,33,8 Avenue Local to 65 St
65 St,Northern Blvd,33,35,8 Avenue Local to Northern Blvd
Northern Blvd,46 St,35,36,8 Avenue Local to 46 St
46 St,Steinway St,36,38,8 Avenue Local to Steinway St
Steinway St,36 St,38,40,8 Avenue Local to 36 St
36 St,Queens Plaza,40,42,8 Avenue Local to Queens Plaza
Queens Plaza,Court Sq-23 St,42,43,8 Avenue Local to Court Sq-23 St
Court Sq-23 St,Lexington Av/53 St,43,46,8 Avenue Local to Lexington Av/53 St
Lexington Av/53 St,5 Av/53 St,46,48,8 Avenue Local to 5 Av/53 St
5 Av/53 St,7 Av,48,49,8 Avenue Local to 7 Av
7 Av,50 St,49,51,8 Avenue Local to 50 St
50 St,42 St-Port Authority Bus Terminal,55,57,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,34 St-Penn Station,57,58,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,23 St,58,59,8 Avenue Local to 23 St
23 St,14 St,59,61,8 Avenue Local to 14 St
14 St,W 4 St-Wash Sq,61,63,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,Spring St,63,64,8 Avenue Local to Spring St
Spring St,Canal St,64,66,8 Avenue Local to Canal St
Canal St,World Trade Center,70,72,8 Avenue Local to World Trade Center
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,32,34,8 Avenue Local to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,Jamaica-Van Wyck,34,36,8 Avenue Local to Jamaica-Van Wyck
Jamaica-Van Wyck,Briarwood,36,38,8 Avenue Local to Briarwood
Briarwood,Kew Gardens-Union Tpke,38,39,8 Avenue Local to Kew Gardens-Union Tpke
Kew Gardens-Union Tpke,75 Av,39,41,8 Avenue Local to 75 Av
75 Av,Forest Hills-71 Av,41,42,8 Avenue Local to Forest Hills-71 Av
Forest Hills-71 Av,67 Av,42,44,8 Avenue Local to 67 Av
67 Av,63 Dr-Rego Park,44,46,8 Avenue Local to 63 Dr-Rego Park
63 Dr-Rego Park,Woodhaven Blvd,46,47,8 Avenue Local to Woodhaven Blvd
Woodhaven Blvd,Grand Av-Newtown,47,49,8 Avenue Local to Grand Av-Newtown
Grand Av-Newtown,Elmhurst Av,49,50,8 Avenue Local to Elmhurst Av
Elmhurst Av,Jackson Hts-Roosevelt Av,50,52,8 Avenue Local to Jackson Hts-Roosevelt Av
Jackson Hts-Roosevelt Av,65 St,52,53,8 Avenue Local to 65 St
65 St,Northern Blvd,53,55,8 Avenue Local to Northern Blvd
Northern Blvd,46 St,55,56,8 Avenue Local to 46 St
46 St,Steinway St,56,58,8 Avenue Local to Steinway St
Steinway St,36 St,58,60,8 Avenue Local to 36 St
36 St,Queens Plaza,60,62,8 Avenue Local to Queens Plaza
Queens Plaza,Court Sq-23 St,62,63,8 Avenue Local to Court Sq-23 St
Court Sq-23 St,Lexington Av/53 St,63,66,8 Avenue Local to Lexington Av/53 St
Lexington Av/53 St,5 Av/53 St,66,68,8 Avenue Local to 5 Av/53 St
5 Av/53 St,7 Av,68,69,8 Avenue Local to 7 Av
7 Av,50 St,69,71,8 Avenue Local to 50 St
50 St,42 St-Port Authority Bus Terminal,75,77,8 Avenue Local to 42 St-Port Authority Bus Terminal
42 St-Port Authority Bus Terminal,34 St-Penn Station,77,78,8 Avenue Local to 34 St-Penn Station
34 St-Penn Station,23 St,78,79,8 Avenue Local to 23 St
23 St,14 St,79,81,8 Avenue Local to 14 St
14 St,W 4 St-Wash Sq,81,83,8 Avenue Local to W 4 St-Wash Sq
W 4 St-Wash Sq,Spring St,83,84,8 Avenue Local to Spring St
Spring St,Canal St,84,86,8 Avenue Local to Canal St
Canal St,World Trade Center,90,92,8 Avenue Local to World Trade Center
Jamaica Center-Parsons/Archer,Sutphin Blvd-Archer Av-JFK Airport,52,54,8 Avenue Local to Sutphin Blvd-Archer Av-JFK Airport
Sutphin Blvd-Archer Av-JFK Airport,Jamaica-Van Wyck,54,56,8 Avenue Local to Jamaica-Van Wyck
Jamaica-Van Wyck,Briarwood,56,58,8 Avenue Local to Briarwood
Briarwood,Kew Gardens-Union Tpke,58,59,8 Avenue Local to Kew Gardens-Union Tpke
Kew Gardens-Union Tpke,75 Av,59,61,8 Avenue Local to 75 Av
75 Av,Forest Hills-71 Av,61,62,8 Avenue Local to Forest Hills-71 Av
Forest Hills-71 Av,67 Av,62,64,8 Avenue Local to 67 Av
67 Av,63 Dr-Rego Park,64,66,8 Avenue Local to 63 Dr-Rego Park
63 Dr-Rego Park,Woodhaven Blvd,66,67,8 Avenue Local to Woodhaven Blvd
Woodhaven Blvd,Grand Av-Newtown,67,69,8 Avenue Local to Grand Av-Newtown
Grand Av-Newtown,Elmhurst Av,69,70,8 Avenue Local to Elmhurst Av
Elmhurst Av,Jackson Hts-Roosevelt Av,70,72,8 Avenue Local to Jackson Hts-Roosevelt Av
Jackson Hts-Roosevelt Av,65 St,72,73,8 Avenue Local to 65 St
65 St,Northern Blvd,73,75,8 Avenue Local to Northern Blvd
Northern Blvd,46 St,75,76,8 Avenue Local to 46 St
46 St,Steinway St,76,78,8 Avenue Local to Steinway St
Steinway St,36 St,78,80,8 Avenue Local to 36 St
36 St,Queens Plaza,80,82,8 Avenue Local to Queens Plaza
Queens Plaza,Court Sq-23 St,82,83,8 Avenue Local to Court Sq-23 St
Court Sq-23 St,Lexington Av/53 St,83,86,8 Avenue Local to Lexington Av/53 St
