node1,node2,tstart,tend,line,
Court Sq,21 St,14,15,Brooklyn-Queens Crosstown to 21 St
21 St,Greenpoint Av,15,17,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,Nassau Av,17,18,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Metropolitan Av,18,21,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Broadway,21,22,Brooklyn-Queens Crosstown to Broadway
Broadway,Flushing Av,22,23,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Myrtle-Willoughby Avs,23,25,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Bedford-Nostrand Avs,25,26,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Classon Av,26,27,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Clinton-Washington Avs,27,29,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Fulton St,29,30,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Hoyt-Schermerhorn Sts,30,32,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Bergen St,32,33,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Carroll St,33,35,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Smith-9 Sts,35,37,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,4 Av-9 St,37,39,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,7 Av,39,40,Brooklyn-Queens Crosstown to 7 Av
7 Av,15 St-Prospect Park,40,42,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,Fort Hamilton Pkwy,42,44,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,Church Av,44,46,Brooklyn-Queens Crosstown to Church Av
Court Sq,21 St,34,35,Brooklyn-Queens Crosstown to 21 St
21 St,Greenpoint Av,35,37,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,Nassau Av,37,38,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Metropolitan Av,38,41,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Broadway,41,42,Brooklyn-Queens Crosstown to Broadway
Broadway,Flushing Av,42,43,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Myrtle-Willoughby Avs,43,45,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Bedford-Nostrand Avs,45,46,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Classon Av,46,47,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Clinton-Washington Avs,47,49,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Fulton St,49,50,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Hoyt-Schermerhorn Sts,50,52,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Bergen St,52,53,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Carroll St,53,55,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Smith-9 Sts,55,57,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,4 Av-9 St,57,59,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,7 Av,59,60,Brooklyn-Queens Crosstown to 7 Av
7 Av,15 St-Prospect Park,60,62,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,Fort Hamilton Pkwy,62,64,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,Church Av,64,66,Brooklyn-Queens Crosstown to Church Av
Court Sq,21 St,54,55,Brooklyn-Queens Crosstown to 21 St
21 St,Greenpoint Av,55,57,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,Nassau Av,57,58,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Metropolitan Av,58,61,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Broadway,61,62,Brooklyn-Queens Crosstown to Broadway
Broadway,Flushing Av,62,63,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Myrtle-Willoughby Avs,63,65,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Bedford-Nostrand Avs,65,66,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Classon Av,66,67,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Clinton-Washington Avs,67,69,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Fulton St,69,70,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Hoyt-Schermerhorn Sts,70,72,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Bergen St,72,73,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Carroll St,73,75,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Smith-9 Sts,75,77,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,4 Av-9 St,77,79,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,7 Av,79,80,Brooklyn-Queens Crosstown to 7 Av
7 Av,15 St-Prospect Park,80,82,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,Fort Hamilton Pkwy,82,84,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,Church Av,84,85,Brooklyn-Queens Crosstown to Church Av
