node1,node2,tstart,tend,line,
Whitehall St-South Ferry,Court St,15,18,Broadway Local to Court St
Court St,Jay St-MetroTech,18,20,Broadway Local to Jay St-MetroTech
Jay St-MetroTech,DeKalb Av,20,22,Broadway Local to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,24,27,Broadway Local to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Union St,27,29,Broadway Local to Union St
Union St,4 Av-9 St,29,30,Broadway Local to 4 Av-9 St
4 Av-9 St,Prospect Av,30,32,Broadway Local to Prospect Av
Prospect Av,25 St,32,34,Broadway Local to 25 St
25 St,36 St,34,35,Broadway Local to 36 St
36 St,45 St,35,37,Broadway Local to 45 St
45 St,53 St,37,39,Broadway Local to 53 St
53 St,59 St,39,40,Broadway Local to 59 St
59 St,Bay Ridge Av,40,42,Broadway Local to Bay Ridge Av
Bay Ridge Av,77 St,42,43,Broadway Local to 77 St
77 St,86 St,43,45,Broadway Local to 86 St
86 St,Bay Ridge-95 St,45,47,Broadway Local to Bay Ridge-95 St
Whitehall St-South Ferry,Court St,35,38,Broadway Local to Court St
Court St,Jay St-MetroTech,38,40,Broadway Local to Jay St-MetroTech
Jay St-MetroTech,DeKalb Av,40,42,Broadway Local to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,44,47,Broadway Local to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Union St,47,49,Broadway Local to Union St
Union St,4 Av-9 St,49,50,Broadway Local to 4 Av-9 St
4 Av-9 St,Prospect Av,50,52,Broadway Local to Prospect Av
Prospect Av,25 St,52,54,Broadway Local to 25 St
25 St,36 St,54,55,Broadway Local to 36 St
36 St,45 St,55,57,Broadway Local to 45 St
45 St,53 St,57,59,Broadway Local to 53 St
53 St,59 St,59,60,Broadway Local to 59 St
59 St,Bay Ridge Av,60,62,Broadway Local to Bay Ridge Av
Bay Ridge Av,77 St,62,63,Broadway Local to 77 St
77 St,86 St,63,65,Broadway Local to 86 St
86 St,Bay Ridge-95 St,65,67,Broadway Local to Bay Ridge-95 St
Whitehall St-South Ferry,Court St,55,58,Broadway Local to Court St
Court St,Jay St-MetroTech,58,60,Broadway Local to Jay St-MetroTech
Jay St-MetroTech,DeKalb Av,60,62,Broadway Local to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,65,68,Broadway Local to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Union St,68,70,Broadway Local to Union St
Union St,4 Av-9 St,70,71,Broadway Local to 4 Av-9 St
4 Av-9 St,Prospect Av,71,73,Broadway Local to Prospect Av
Prospect Av,25 St,73,75,Broadway Local to 25 St
25 St,36 St,75,76,Broadway Local to 36 St
36 St,45 St,76,78,Broadway Local to 45 St
45 St,53 St,78,80,Broadway Local to 53 St
53 St,59 St,80,81,Broadway Local to 59 St
59 St,Bay Ridge Av,81,83,Broadway Local to Bay Ridge Av
Bay Ridge Av,77 St,83,84,Broadway Local to 77 St
77 St,86 St,84,86,Broadway Local to 86 St
86 St,Bay Ridge-95 St,86,88,Broadway Local to Bay Ridge-95 St
