node1,node2,tstart,tend,line,
Astoria-Ditmars Blvd,Astoria Blvd,373,374,Broadway Local to Astoria Blvd
Astoria Blvd,30 Av,374,376,Broadway Local to 30 Av
30 Av,Broadway,376,377,Broadway Local to Broadway
Broadway,36 Av,377,379,Broadway Local to 36 Av
36 Av,39 Av-Dutch Kills,379,380,Broadway Local to 39 Av-Dutch Kills
39 Av-Dutch Kills,Queensboro Plaza,380,383,Broadway Local to Queensboro Plaza
Queensboro Plaza,Lexington Av/59 St,383,387,Broadway Local to Lexington Av/59 St
Lexington Av/59 St,5 Av/59 St,387,389,Broadway Local to 5 Av/59 St
5 Av/59 St,57 St-7 Av,389,392,Broadway Local to 57 St-7 Av
57 St-7 Av,49 St,392,393,Broadway Local to 49 St
49 St,Times Sq-42 St,393,395,Broadway Local to Times Sq-42 St
Times Sq-42 St,34 St-Herald Sq,395,397,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,28 St,397,398,Broadway Local to 28 St
28 St,23 St,398,399,Broadway Local to 23 St
23 St,14 St-Union Sq,399,401,Broadway Local to 14 St-Union Sq
14 St-Union Sq,8 St-NYU,401,402,Broadway Local to 8 St-NYU
8 St-NYU,Prince St,402,405,Broadway Local to Prince St
Prince St,Canal St,405,406,Broadway Local to Canal St
Canal St,City Hall,406,409,Broadway Local to City Hall
City Hall,Cortlandt St,409,411,Broadway Local to Cortlandt St
Cortlandt St,Rector St,411,413,Broadway Local to Rector St
Rector St,Whitehall St-South Ferry,413,415,Broadway Local to Whitehall St-South Ferry
Astoria-Ditmars Blvd,Astoria Blvd,393,394,Broadway Local to Astoria Blvd
Astoria Blvd,30 Av,394,396,Broadway Local to 30 Av
30 Av,Broadway,396,397,Broadway Local to Broadway
Broadway,36 Av,397,399,Broadway Local to 36 Av
36 Av,39 Av-Dutch Kills,399,400,Broadway Local to 39 Av-Dutch Kills
39 Av-Dutch Kills,Queensboro Plaza,400,403,Broadway Local to Queensboro Plaza
Queensboro Plaza,Lexington Av/59 St,403,407,Broadway Local to Lexington Av/59 St
Lexington Av/59 St,5 Av/59 St,407,409,Broadway Local to 5 Av/59 St
5 Av/59 St,57 St-7 Av,409,412,Broadway Local to 57 St-7 Av
57 St-7 Av,49 St,412,413,Broadway Local to 49 St
49 St,Times Sq-42 St,413,415,Broadway Local to Times Sq-42 St
Times Sq-42 St,34 St-Herald Sq,415,417,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,28 St,417,418,Broadway Local to 28 St
28 St,23 St,418,419,Broadway Local to 23 St
23 St,14 St-Union Sq,419,421,Broadway Local to 14 St-Union Sq
14 St-Union Sq,8 St-NYU,421,422,Broadway Local to 8 St-NYU
8 St-NYU,Prince St,422,425,Broadway Local to Prince St
Prince St,Canal St,425,426,Broadway Local to Canal St
Canal St,City Hall,426,429,Broadway Local to City Hall
City Hall,Cortlandt St,429,431,Broadway Local to Cortlandt St
Cortlandt St,Rector St,431,433,Broadway Local to Rector St
Rector St,Whitehall St-South Ferry,433,435,Broadway Local to Whitehall St-South Ferry
Astoria-Ditmars Blvd,Astoria Blvd,403,404,Broadway Local to Astoria Blvd
Astoria Blvd,30 Av,404,406,Broadway Local to 30 Av
30 Av,Broadway,406,407,Broadway Local to Broadway
Broadway,36 Av,407,409,Broadway Local to 36 Av
36 Av,39 Av-Dutch Kills,409,410,Broadway Local to 39 Av-Dutch Kills
39 Av-Dutch Kills,Queensboro Plaza,410,413,Broadway Local to Queensboro Plaza
Queensboro Plaza,Lexington Av/59 St,413,417,Broadway Local to Lexington Av/59 St
Lexington Av/59 St,5 Av/59 St,417,419,Broadway Local to 5 Av/59 St
5 Av/59 St,57 St-7 Av,419,422,Broadway Local to 57 St-7 Av
57 St-7 Av,49 St,422,423,Broadway Local to 49 St
49 St,Times Sq-42 St,423,425,Broadway Local to Times Sq-42 St
Times Sq-42 St,34 St-Herald Sq,425,427,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,28 St,427,428,Broadway Local to 28 St
28 St,23 St,428,429,Broadway Local to 23 St
23 St,14 St-Union Sq,429,431,Broadway Local to 14 St-Union Sq
14 St-Union Sq,8 St-NYU,431,433,Broadway Local to 8 St-NYU
8 St-NYU,Prince St,433,435,Broadway Local to Prince St
Prince St,Canal St,435,437,Broadway Local to Canal St
Canal St,City Hall,437,439,Broadway Local to City Hall
City Hall,Cortlandt St,439,441,Broadway Local to Cortlandt St
Cortlandt St,Rector St,441,443,Broadway Local to Rector St
Rector St,Whitehall St-South Ferry,443,445,Broadway Local to Whitehall St-South Ferry
Astoria-Ditmars Blvd,Astoria Blvd,413,414,Broadway Local to Astoria Blvd
Astoria Blvd,30 Av,414,416,Broadway Local to 30 Av
30 Av,Broadway,416,417,Broadway Local to Broadway
Broadway,36 Av,417,419,Broadway Local to 36 Av
36 Av,39 Av-Dutch Kills,419,420,Broadway Local to 39 Av-Dutch Kills
39 Av-Dutch Kills,Queensboro Plaza,420,423,Broadway Local to Queensboro Plaza
Queensboro Plaza,Lexington Av/59 St,423,427,Broadway Local to Lexington Av/59 St
Lexington Av/59 St,5 Av/59 St,427,429,Broadway Local to 5 Av/59 St
5 Av/59 St,57 St-7 Av,429,432,Broadway Local to 57 St-7 Av
57 St-7 Av,49 St,432,433,Broadway Local to 49 St
49 St,Times Sq-42 St,433,435,Broadway Local to Times Sq-42 St
Times Sq-42 St,34 St-Herald Sq,435,437,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,28 St,437,438,Broadway Local to 28 St
28 St,23 St,438,439,Broadway Local to 23 St
23 St,14 St-Union Sq,439,441,Broadway Local to 14 St-Union Sq
14 St-Union Sq,8 St-NYU,441,443,Broadway Local to 8 St-NYU
