node1,node2,tstart,tend,line,
Flatbush Av-Brooklyn College,Newkirk Av,929,931,Lexington Avenue Express to Newkirk Av
Newkirk Av,Beverly Rd,931,932,Lexington Avenue Express to Beverly Rd
Beverly Rd,Church Av,932,934,Lexington Avenue Express to Church Av
Church Av,Winthrop St,934,935,Lexington Avenue Express to Winthrop St
Winthrop St,Sterling St,935,937,Lexington Avenue Express to Sterling St
Sterling St,President St-Medgar Evers College,937,938,Lexington Avenue Express to President St-Medgar Evers College
President St-Medgar Evers College,Franklin Av-Medgar Evers College,938,941,Lexington Avenue Express to Franklin Av-Medgar Evers College
Franklin Av-Medgar Evers College,Atlantic Av-Barclays Ctr,941,946,Lexington Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Nevins St,946,948,Lexington Avenue Express to Nevins St
Nevins St,Borough Hall,948,950,Lexington Avenue Express to Borough Hall
Borough Hall,Bowling Green,950,955,Lexington Avenue Express to Bowling Green
Bowling Green,Wall St,955,956,Lexington Avenue Express to Wall St
Wall St,Fulton St,956,958,Lexington Avenue Express to Fulton St
Fulton St,Brooklyn Bridge-City Hall,958,960,Lexington Avenue Express to Brooklyn Bridge-City Hall
Brooklyn Bridge-City Hall,14 St-Union Sq,960,965,Lexington Avenue Express to 14 St-Union Sq
14 St-Union Sq,Grand Central-42 St,965,969,Lexington Avenue Express to Grand Central-42 St
Grand Central-42 St,59 St,969,972,Lexington Avenue Express to 59 St
59 St,86 St,972,976,Lexington Avenue Express to 86 St
86 St,125 St,976,982,Lexington Avenue Express to 125 St
125 St,138 St-Grand Concourse,982,984,Lexington Avenue Express to 138 St-Grand Concourse
138 St-Grand Concourse,149 St-Grand Concourse,986,990,Lexington Avenue Express to 149 St-Grand Concourse
149 St-Grand Concourse,3 Av-149 St,990,992,Lexington Avenue Express to 3 Av-149 St
3 Av-149 St,E 180 St,992,1003,Lexington Avenue Express to E 180 St
E 180 St,Morris Park,1003,1006,Lexington Avenue Express to Morris Park
Morris Park,Pelham Pkwy,1006,1008,Lexington Avenue Express to Pelham Pkwy
Pelham Pkwy,Gun Hill Rd,1008,1010,Lexington Avenue Express to Gun Hill Rd
Gun Hill Rd,Baychester Av,1010,1013,Lexington Avenue Express to Baychester Av
Baychester Av,Eastchester-Dyre Av,1013,1015,Lexington Avenue Express to Eastchester-Dyre Av
Flatbush Av-Brooklyn College,Newkirk Av,935,937,Lexington Avenue Express to Newkirk Av
Newkirk Av,Beverly Rd,937,938,Lexington Avenue Express to Beverly Rd
Beverly Rd,Church Av,938,940,Lexington Avenue Express to Church Av
Church Av,Winthrop St,940,941,Lexington Avenue Express to Winthrop St
Winthrop St,Sterling St,941,943,Lexington Avenue Express to Sterling St
Sterling St,President St-Medgar Evers College,943,944,Lexington Avenue Express to President St-Medgar Evers College
President St-Medgar Evers College,Franklin Av-Medgar Evers College,944,947,Lexington Avenue Express to Franklin Av-Medgar Evers College
Franklin Av-Medgar Evers College,Atlantic Av-Barclays Ctr,947,952,Lexington Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Nevins St,952,954,Lexington Avenue Express to Nevins St
