node1,node2,tstart,tend,line,
Bedford Park Blvd,Kingsbridge Rd,325,327,6 Avenue Express to Kingsbridge Rd
Kingsbridge Rd,Fordham Rd,327,329,6 Avenue Express to Fordham Rd
Fordham Rd,182-183 Sts,329,331,6 Avenue Express to 182-183 Sts
182-183 Sts,Tremont Av,331,332,6 Avenue Express to Tremont Av
Tremont Av,174-175 Sts,332,334,6 Avenue Express to 174-175 Sts
174-175 Sts,170 St,334,336,6 Avenue Express to 170 St
170 St,167 St,336,338,6 Avenue Express to 167 St
167 St,161 St-Yankee Stadium,338,341,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,155 St,341,342,6 Avenue Express to 155 St
155 St,145 St,342,344,6 Avenue Express to 145 St
145 St,135 St,344,346,6 Avenue Express to 135 St
135 St,125 St,346,347,6 Avenue Express to 125 St
125 St,116 St,347,349,6 Avenue Express to 116 St
116 St,Cathedral Pkwy (110 St),349,350,6 Avenue Express to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),103 St,350,351,6 Avenue Express to 103 St
103 St,96 St,351,353,6 Avenue Express to 96 St
96 St,86 St,353,354,6 Avenue Express to 86 St
86 St,81 St-Museum of Natural History,354,356,6 Avenue Express to 81 St-Museum of Natural History
81 St-Museum of Natural History,72 St,356,357,6 Avenue Express to 72 St
72 St,59 St-Columbus Circle,357,359,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,7 Av,359,360,6 Avenue Express to 7 Av
7 Av,47-50 Sts-Rockefeller Ctr,360,362,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,362,363,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,34 St-Herald Sq,363,365,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,W 4 St-Wash Sq,365,368,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,Broadway-Lafayette St,368,370,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,Grand St,370,372,6 Avenue Express to Grand St
Grand St,DeKalb Av,372,381,6 Avenue Express to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,381,383,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,7 Av,383,385,6 Avenue Express to 7 Av
7 Av,Prospect Park,385,389,6 Avenue Express to Prospect Park
Prospect Park,Church Av,389,391,6 Avenue Express to Church Av
Church Av,Newkirk Plaza,391,394,6 Avenue Express to Newkirk Plaza
Newkirk Plaza,Kings Hwy,394,398,6 Avenue Express to Kings Hwy
Kings Hwy,Sheepshead Bay,398,402,6 Avenue Express to Sheepshead Bay
Sheepshead Bay,Brighton Beach,404,406,6 Avenue Express to Brighton Beach
Bedford Park Blvd,Kingsbridge Rd,344,346,6 Avenue Express to Kingsbridge Rd
Kingsbridge Rd,Fordham Rd,346,348,6 Avenue Express to Fordham Rd
Fordham Rd,182-183 Sts,348,350,6 Avenue Express to 182-183 Sts
182-183 Sts,Tremont Av,350,351,6 Avenue Express to Tremont Av
Tremont Av,174-175 Sts,351,353,6 Avenue Express to 174-175 Sts
174-175 Sts,170 St,353,355,6 Avenue Express to 170 St
170 St,167 St,355,357,6 Avenue Express to 167 St
167 St,161 St-Yankee Stadium,357,360,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,155 St,360,361,6 Avenue Express to 155 St
155 St,145 St,361,363,6 Avenue Express to 145 St
145 St,135 St,363,365,6 Avenue Express to 135 St
135 St,125 St,365,366,6 Avenue Express to 125 St
125 St,116 St,366,368,6 Avenue Express to 116 St
116 St,Cathedral Pkwy (110 St),368,369,6 Avenue Express to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),103 St,369,370,6 Avenue Express to 103 St
103 St,96 St,370,372,6 Avenue Express to 96 St
96 St,86 St,372,373,6 Avenue Express to 86 St
86 St,81 St-Museum of Natural History,373,375,6 Avenue Express to 81 St-Museum of Natural History
81 St-Museum of Natural History,72 St,375,376,6 Avenue Express to 72 St
72 St,59 St-Columbus Circle,376,378,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,7 Av,378,379,6 Avenue Express to 7 Av
7 Av,47-50 Sts-Rockefeller Ctr,379,381,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,381,382,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,34 St-Herald Sq,382,384,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,W 4 St-Wash Sq,384,387,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,Broadway-Lafayette St,387,389,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,Grand St,389,391,6 Avenue Express to Grand St
Grand St,DeKalb Av,391,399,6 Avenue Express to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,399,401,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,7 Av,401,403,6 Avenue Express to 7 Av
7 Av,Prospect Park,403,407,6 Avenue Express to Prospect Park
Prospect Park,Church Av,407,409,6 Avenue Express to Church Av
Church Av,Newkirk Plaza,409,412,6 Avenue Express to Newkirk Plaza
Newkirk Plaza,Kings Hwy,412,416,6 Avenue Express to Kings Hwy
Kings Hwy,Sheepshead Bay,416,420,6 Avenue Express to Sheepshead Bay
Sheepshead Bay,Brighton Beach,422,424,6 Avenue Express to Brighton Beach
Brighton Beach,Sheepshead Bay,358,360,6 Avenue Express to Sheepshead Bay
Sheepshead Bay,Kings Hwy,360,364,6 Avenue Express to Kings Hwy
Kings Hwy,Newkirk Plaza,364,368,6 Avenue Express to Newkirk Plaza
Newkirk Plaza,Church Av,368,371,6 Avenue Express to Church Av
Church Av,Prospect Park,371,373,6 Avenue Express to Prospect Park
Prospect Park,7 Av,373,376,6 Avenue Express to 7 Av
7 Av,Atlantic Av-Barclays Ctr,376,378,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,DeKalb Av,378,380,6 Avenue Express to DeKalb Av
DeKalb Av,Grand St,380,388,6 Avenue Express to Grand St
Grand St,Broadway-Lafayette St,388,390,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,W 4 St-Wash Sq,390,392,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,34 St-Herald Sq,392,395,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,42 St-Bryant Pk,395,396,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,47-50 Sts-Rockefeller Ctr,396,398,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,7 Av,398,399,6 Avenue Express to 7 Av
7 Av,59 St-Columbus Circle,401,404,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,72 St,404,405,6 Avenue Express to 72 St
72 St,81 St-Museum of Natural History,405,407,6 Avenue Express to 81 St-Museum of Natural History
81 St-Museum of Natural History,86 St,407,408,6 Avenue Express to 86 St
86 St,96 St,408,410,6 Avenue Express to 96 St
96 St,103 St,410,411,6 Avenue Express to 103 St
103 St,Cathedral Pkwy (110 St),411,412,6 Avenue Express to Cathedral Pkwy (110 St)
Cathedral Pkwy (110 St),116 St,412,414,6 Avenue Express to 116 St
116 St,125 St,414,415,6 Avenue Express to 125 St
125 St,135 St,415,417,6 Avenue Express to 135 St
135 St,145 St,419,420,6 Avenue Express to 145 St
145 St,155 St,420,422,6 Avenue Express to 155 St
155 St,161 St-Yankee Stadium,422,423,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,167 St,423,426,6 Avenue Express to 167 St
167 St,170 St,426,428,6 Avenue Express to 170 St
