node1,node2,tstart,tend,line,
Norwood-205 St,Bedford Park Blvd,8,10,6 Avenue Express to Bedford Park Blvd
Bedford Park Blvd,Kingsbridge Rd,12,14,6 Avenue Express to Kingsbridge Rd
Kingsbridge Rd,Fordham Rd,14,16,6 Avenue Express to Fordham Rd
Fordham Rd,182-183 Sts,16,17,6 Avenue Express to 182-183 Sts
182-183 Sts,Tremont Av,17,19,6 Avenue Express to Tremont Av
Tremont Av,174-175 Sts,19,20,6 Avenue Express to 174-175 Sts
174-175 Sts,170 St,20,23,6 Avenue Express to 170 St
170 St,167 St,23,25,6 Avenue Express to 167 St
167 St,161 St-Yankee Stadium,25,27,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,155 St,27,29,6 Avenue Express to 155 St
155 St,145 St,29,30,6 Avenue Express to 145 St
145 St,125 St,30,34,6 Avenue Express to 125 St
125 St,59 St-Columbus Circle,34,42,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,7 Av,42,43,6 Avenue Express to 7 Av
7 Av,47-50 Sts-Rockefeller Ctr,43,45,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,45,46,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,34 St-Herald Sq,46,48,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,W 4 St-Wash Sq,48,51,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,Broadway-Lafayette St,51,53,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,Grand St,53,55,6 Avenue Express to Grand St
Grand St,DeKalb Av,55,63,6 Avenue Express to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,63,66,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Union St,66,68,6 Avenue Express to Union St
Union St,4 Av-9 St,68,69,6 Avenue Express to 4 Av-9 St
4 Av-9 St,Prospect Av,69,71,6 Avenue Express to Prospect Av
Prospect Av,25 St,71,73,6 Avenue Express to 25 St
25 St,36 St,73,74,6 Avenue Express to 36 St
36 St,9 Av,74,78,6 Avenue Express to 9 Av
9 Av,Fort Hamilton Pkwy,78,80,6 Avenue Express to Fort Hamilton Pkwy
Fort Hamilton Pkwy,50 St,80,82,6 Avenue Express to 50 St
50 St,55 St,82,84,6 Avenue Express to 55 St
55 St,62 St,84,85,6 Avenue Express to 62 St
62 St,71 St,85,87,6 Avenue Express to 71 St
71 St,79 St,87,89,6 Avenue Express to 79 St
79 St,18 Av,89,90,6 Avenue Express to 18 Av
18 Av,20 Av,90,92,6 Avenue Express to 20 Av
20 Av,Bay Pkwy,92,93,6 Avenue Express to Bay Pkwy
Bay Pkwy,25 Av,93,94,6 Avenue Express to 25 Av
25 Av,Bay 50 St,94,96,6 Avenue Express to Bay 50 St
Bay 50 St,Coney Island-Stillwell Av,102,106,6 Avenue Express to Coney Island-Stillwell Av
Norwood-205 St,Bedford Park Blvd,24,26,6 Avenue Express to Bedford Park Blvd
Bedford Park Blvd,Kingsbridge Rd,28,30,6 Avenue Express to Kingsbridge Rd
Kingsbridge Rd,Fordham Rd,30,31,6 Avenue Express to Fordham Rd
Fordham Rd,182-183 Sts,31,33,6 Avenue Express to 182-183 Sts
182-183 Sts,Tremont Av,33,34,6 Avenue Express to Tremont Av
Tremont Av,174-175 Sts,34,36,6 Avenue Express to 174-175 Sts
174-175 Sts,170 St,36,38,6 Avenue Express to 170 St
170 St,167 St,38,40,6 Avenue Express to 167 St
167 St,161 St-Yankee Stadium,40,43,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,155 St,43,44,6 Avenue Express to 155 St
155 St,145 St,44,46,6 Avenue Express to 145 St
145 St,125 St,46,49,6 Avenue Express to 125 St
125 St,59 St-Columbus Circle,49,57,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,7 Av,57,59,6 Avenue Express to 7 Av
7 Av,47-50 Sts-Rockefeller Ctr,59,60,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,60,62,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,34 St-Herald Sq,62,63,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,W 4 St-Wash Sq,63,66,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,Broadway-Lafayette St,66,68,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,Grand St,68,70,6 Avenue Express to Grand St
Grand St,DeKalb Av,70,78,6 Avenue Express to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,80,83,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Union St,83,85,6 Avenue Express to Union St
Union St,4 Av-9 St,85,87,6 Avenue Express to 4 Av-9 St
4 Av-9 St,Prospect Av,87,89,6 Avenue Express to Prospect Av
Prospect Av,25 St,89,90,6 Avenue Express to 25 St
25 St,36 St,90,92,6 Avenue Express to 36 St
36 St,9 Av,92,96,6 Avenue Express to 9 Av
9 Av,Fort Hamilton Pkwy,96,98,6 Avenue Express to Fort Hamilton Pkwy
Fort Hamilton Pkwy,50 St,98,99,6 Avenue Express to 50 St
50 St,55 St,99,101,6 Avenue Express to 55 St
55 St,62 St,101,103,6 Avenue Express to 62 St
62 St,71 St,103,105,6 Avenue Express to 71 St
71 St,79 St,105,106,6 Avenue Express to 79 St
79 St,18 Av,106,108,6 Avenue Express to 18 Av
18 Av,20 Av,108,109,6 Avenue Express to 20 Av
20 Av,Bay Pkwy,109,110,6 Avenue Express to Bay Pkwy
Bay Pkwy,25 Av,110,112,6 Avenue Express to 25 Av
25 Av,Bay 50 St,112,114,6 Avenue Express to Bay 50 St
Bay 50 St,Coney Island-Stillwell Av,120,124,6 Avenue Express to Coney Island-Stillwell Av
Norwood-205 St,Bedford Park Blvd,44,46,6 Avenue Express to Bedford Park Blvd
Bedford Park Blvd,Kingsbridge Rd,48,50,6 Avenue Express to Kingsbridge Rd
Kingsbridge Rd,Fordham Rd,50,51,6 Avenue Express to Fordham Rd
Fordham Rd,182-183 Sts,51,53,6 Avenue Express to 182-183 Sts
182-183 Sts,Tremont Av,53,54,6 Avenue Express to Tremont Av
Tremont Av,174-175 Sts,54,56,6 Avenue Express to 174-175 Sts
174-175 Sts,170 St,56,58,6 Avenue Express to 170 St
170 St,167 St,58,60,6 Avenue Express to 167 St
167 St,161 St-Yankee Stadium,60,63,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,155 St,63,64,6 Avenue Express to 155 St
155 St,145 St,64,66,6 Avenue Express to 145 St
145 St,125 St,66,69,6 Avenue Express to 125 St
125 St,59 St-Columbus Circle,69,77,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,7 Av,77,79,6 Avenue Express to 7 Av
7 Av,47-50 Sts-Rockefeller Ctr,79,80,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,42 St-Bryant Pk,80,82,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,34 St-Herald Sq,82,83,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,W 4 St-Wash Sq,83,86,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,Broadway-Lafayette St,86,88,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,Grand St,88,90,6 Avenue Express to Grand St
Grand St,DeKalb Av,90,98,6 Avenue Express to DeKalb Av
DeKalb Av,Atlantic Av-Barclays Ctr,100,103,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,Union St,103,105,6 Avenue Express to Union St
Union St,4 Av-9 St,105,107,6 Avenue Express to 4 Av-9 St
4 Av-9 St,Prospect Av,107,109,6 Avenue Express to Prospect Av
Prospect Av,25 St,109,110,6 Avenue Express to 25 St
25 St,36 St,110,112,6 Avenue Express to 36 St
36 St,9 Av,112,116,6 Avenue Express to 9 Av
9 Av,Fort Hamilton Pkwy,116,118,6 Avenue Express to Fort Hamilton Pkwy
Fort Hamilton Pkwy,50 St,118,119,6 Avenue Express to 50 St
50 St,55 St,119,121,6 Avenue Express to 55 St
