node1,node2,tstart,tend,line,
Broad Channel,Beach 90 St,18,22,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,22,24,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,24,25,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,25,26,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
Broad Channel,Beach 90 St,40,44,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,44,46,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,46,47,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,47,48,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
Rockaway Park-Beach 116 St,Beach 105 St,41,43,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,43,45,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,45,46,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,46,50,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,61,63,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,63,65,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,65,66,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,66,70,Rockaway Park Shuttle to Broad Channel
Broad Channel,Beach 90 St,64,68,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,68,70,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,70,71,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,71,72,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
Rockaway Park-Beach 116 St,Beach 105 St,81,83,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,83,85,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,85,86,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,86,90,Rockaway Park Shuttle to Broad Channel
Broad Channel,Beach 90 St,89,93,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,93,95,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,95,96,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,96,97,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
Rockaway Park-Beach 116 St,Beach 105 St,101,103,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,103,105,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,105,106,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,106,110,Rockaway Park Shuttle to Broad Channel
Broad Channel,Beach 90 St,106,110,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,110,111,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,111,112,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,112,114,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
Rockaway Park-Beach 116 St,Beach 105 St,121,123,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,123,125,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,125,126,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,126,130,Rockaway Park Shuttle to Broad Channel
Broad Channel,Beach 90 St,126,130,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,130,131,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,131,132,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,132,134,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
Rockaway Park-Beach 116 St,Beach 105 St,141,143,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,143,145,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,145,146,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,146,150,Rockaway Park Shuttle to Broad Channel
Broad Channel,Beach 90 St,146,150,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Beach 98 St,150,151,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 105 St,151,152,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Rockaway Park-Beach 116 St,152,154,Rockaway Park Shuttle to Rockaway Park-Beach 116 St
