label,id,lat,lon,
34 St-Hudson Yards,726N,40.755882,-74.00191
Times Sq-42 St,725N,40.755477,-73.987691
5 Av,724N,40.753821,-73.981963
Grand Central-42 St,723N,40.751431,-73.976041
Vernon Blvd-Jackson Av,721N,40.742626,-73.953581
Hunters Point Av,720N,40.742216,-73.948916
Court Sq,719N,40.747023,-73.945264
Queensboro Plaza,718N,40.750582,-73.940202
Woodside-61 St,712N,40.74563,-73.902984
Junction Blvd,707N,40.749145,-73.869527
Mets-Willets Point,702N,40.754622,-73.845625
Flushing-Main St,701N,40.7596,-73.83003
