node1,node2,tstart,tend,line,
Coney Island-Stillwell Av,Bay 50 St,117,121,6 Avenue Express to Bay 50 St
Bay 50 St,25 Av,121,123,6 Avenue Express to 25 Av
25 Av,Bay Pkwy,123,125,6 Avenue Express to Bay Pkwy
Bay Pkwy,20 Av,125,126,6 Avenue Express to 20 Av
20 Av,18 Av,126,127,6 Avenue Express to 18 Av
18 Av,79 St,127,129,6 Avenue Express to 79 St
79 St,71 St,129,130,6 Avenue Express to 71 St
71 St,62 St,130,132,6 Avenue Express to 62 St
62 St,55 St,132,134,6 Avenue Express to 55 St
55 St,50 St,134,136,6 Avenue Express to 50 St
50 St,Fort Hamilton Pkwy,136,137,6 Avenue Express to Fort Hamilton Pkwy
Fort Hamilton Pkwy,9 Av,137,139,6 Avenue Express to 9 Av
9 Av,36 St,139,143,6 Avenue Express to 36 St
36 St,25 St,143,145,6 Avenue Express to 25 St
25 St,Prospect Av,145,146,6 Avenue Express to Prospect Av
Prospect Av,4 Av-9 St,146,148,6 Avenue Express to 4 Av-9 St
4 Av-9 St,Union St,148,150,6 Avenue Express to Union St
Union St,Atlantic Av-Barclays Ctr,150,152,6 Avenue Express to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,DeKalb Av,152,155,6 Avenue Express to DeKalb Av
DeKalb Av,Grand St,155,163,6 Avenue Express to Grand St
Grand St,Broadway-Lafayette St,163,165,6 Avenue Express to Broadway-Lafayette St
Broadway-Lafayette St,W 4 St-Wash Sq,165,167,6 Avenue Express to W 4 St-Wash Sq
W 4 St-Wash Sq,34 St-Herald Sq,167,170,6 Avenue Express to 34 St-Herald Sq
34 St-Herald Sq,42 St-Bryant Pk,170,171,6 Avenue Express to 42 St-Bryant Pk
42 St-Bryant Pk,47-50 Sts-Rockefeller Ctr,171,173,6 Avenue Express to 47-50 Sts-Rockefeller Ctr
47-50 Sts-Rockefeller Ctr,7 Av,173,174,6 Avenue Express to 7 Av
7 Av,59 St-Columbus Circle,174,176,6 Avenue Express to 59 St-Columbus Circle
59 St-Columbus Circle,125 St,176,184,6 Avenue Express to 125 St
125 St,145 St,184,187,6 Avenue Express to 145 St
145 St,155 St,187,189,6 Avenue Express to 155 St
155 St,161 St-Yankee Stadium,189,190,6 Avenue Express to 161 St-Yankee Stadium
161 St-Yankee Stadium,167 St,190,193,6 Avenue Express to 167 St
167 St,170 St,193,195,6 Avenue Express to 170 St
170 St,174-175 Sts,195,197,6 Avenue Express to 174-175 Sts
174-175 Sts,Tremont Av,197,198,6 Avenue Express to Tremont Av
Tremont Av,182-183 Sts,204,206,6 Avenue Express to 182-183 Sts
