node1,node2,tstart,tend,line,
Church Av,Fort Hamilton Pkwy,64,65,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,65,68,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,7 Av,68,69,Brooklyn-Queens Crosstown to 7 Av
7 Av,4 Av-9 St,69,71,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,71,72,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,Carroll St,72,74,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Bergen St,74,76,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Hoyt-Schermerhorn Sts,76,77,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Fulton St,77,79,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Clinton-Washington Avs,79,80,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Classon Av,80,82,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Bedford-Nostrand Avs,82,83,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Myrtle-Willoughby Avs,83,84,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Flushing Av,84,86,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Broadway,86,87,Brooklyn-Queens Crosstown to Broadway
Broadway,Metropolitan Av,87,88,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Nassau Av,88,91,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Greenpoint Av,91,92,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,21 St,92,94,Brooklyn-Queens Crosstown to 21 St
21 St,Court Sq,94,95,Brooklyn-Queens Crosstown to Court Sq
Church Av,Fort Hamilton Pkwy,84,85,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,85,88,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,7 Av,88,89,Brooklyn-Queens Crosstown to 7 Av
7 Av,4 Av-9 St,89,91,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,91,92,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,Carroll St,92,94,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Bergen St,94,96,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Hoyt-Schermerhorn Sts,96,97,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Fulton St,97,99,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Clinton-Washington Avs,99,100,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Classon Av,100,102,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Bedford-Nostrand Avs,102,103,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Myrtle-Willoughby Avs,103,104,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Flushing Av,104,106,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Broadway,106,107,Brooklyn-Queens Crosstown to Broadway
Broadway,Metropolitan Av,107,108,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Nassau Av,108,111,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Greenpoint Av,111,112,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,21 St,112,114,Brooklyn-Queens Crosstown to 21 St
21 St,Court Sq,114,115,Brooklyn-Queens Crosstown to Court Sq
Church Av,Fort Hamilton Pkwy,104,105,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,105,108,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,7 Av,108,109,Brooklyn-Queens Crosstown to 7 Av
7 Av,4 Av-9 St,109,111,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,111,112,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,Carroll St,112,114,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Bergen St,114,116,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Hoyt-Schermerhorn Sts,116,117,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Fulton St,117,119,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Clinton-Washington Avs,119,120,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Classon Av,120,122,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Bedford-Nostrand Avs,122,123,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Myrtle-Willoughby Avs,123,124,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Flushing Av,124,126,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Broadway,126,127,Brooklyn-Queens Crosstown to Broadway
Broadway,Metropolitan Av,127,128,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Nassau Av,128,131,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Greenpoint Av,131,132,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,21 St,132,134,Brooklyn-Queens Crosstown to 21 St
21 St,Court Sq,134,135,Brooklyn-Queens Crosstown to Court Sq
Church Av,Fort Hamilton Pkwy,124,125,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,125,128,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,7 Av,128,129,Brooklyn-Queens Crosstown to 7 Av
7 Av,4 Av-9 St,129,131,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,131,132,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,Carroll St,132,134,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Bergen St,134,136,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Hoyt-Schermerhorn Sts,136,137,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Fulton St,137,139,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Clinton-Washington Avs,139,140,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Classon Av,140,142,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Bedford-Nostrand Avs,142,143,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Myrtle-Willoughby Avs,143,144,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Flushing Av,144,146,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Broadway,146,147,Brooklyn-Queens Crosstown to Broadway
Broadway,Metropolitan Av,147,148,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Nassau Av,148,151,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Greenpoint Av,151,152,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,21 St,152,154,Brooklyn-Queens Crosstown to 21 St
21 St,Court Sq,154,155,Brooklyn-Queens Crosstown to Court Sq
Church Av,Fort Hamilton Pkwy,144,145,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,145,148,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,7 Av,148,149,Brooklyn-Queens Crosstown to 7 Av
7 Av,4 Av-9 St,149,151,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,151,152,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,Carroll St,152,154,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Bergen St,154,156,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Hoyt-Schermerhorn Sts,156,157,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Fulton St,157,159,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Clinton-Washington Avs,159,160,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Classon Av,160,162,Brooklyn-Queens Crosstown to Classon Av
Classon Av,Bedford-Nostrand Avs,162,163,Brooklyn-Queens Crosstown to Bedford-Nostrand Avs
Bedford-Nostrand Avs,Myrtle-Willoughby Avs,163,164,Brooklyn-Queens Crosstown to Myrtle-Willoughby Avs
Myrtle-Willoughby Avs,Flushing Av,164,166,Brooklyn-Queens Crosstown to Flushing Av
Flushing Av,Broadway,166,167,Brooklyn-Queens Crosstown to Broadway
Broadway,Metropolitan Av,167,168,Brooklyn-Queens Crosstown to Metropolitan Av
Metropolitan Av,Nassau Av,168,171,Brooklyn-Queens Crosstown to Nassau Av
Nassau Av,Greenpoint Av,171,172,Brooklyn-Queens Crosstown to Greenpoint Av
Greenpoint Av,21 St,172,174,Brooklyn-Queens Crosstown to 21 St
21 St,Court Sq,174,175,Brooklyn-Queens Crosstown to Court Sq
Church Av,Fort Hamilton Pkwy,164,165,Brooklyn-Queens Crosstown to Fort Hamilton Pkwy
Fort Hamilton Pkwy,15 St-Prospect Park,165,168,Brooklyn-Queens Crosstown to 15 St-Prospect Park
15 St-Prospect Park,7 Av,168,169,Brooklyn-Queens Crosstown to 7 Av
7 Av,4 Av-9 St,169,171,Brooklyn-Queens Crosstown to 4 Av-9 St
4 Av-9 St,Smith-9 Sts,171,172,Brooklyn-Queens Crosstown to Smith-9 Sts
Smith-9 Sts,Carroll St,172,174,Brooklyn-Queens Crosstown to Carroll St
Carroll St,Bergen St,174,176,Brooklyn-Queens Crosstown to Bergen St
Bergen St,Hoyt-Schermerhorn Sts,176,177,Brooklyn-Queens Crosstown to Hoyt-Schermerhorn Sts
Hoyt-Schermerhorn Sts,Fulton St,177,179,Brooklyn-Queens Crosstown to Fulton St
Fulton St,Clinton-Washington Avs,179,180,Brooklyn-Queens Crosstown to Clinton-Washington Avs
Clinton-Washington Avs,Classon Av,180,182,Brooklyn-Queens Crosstown to Classon Av
