node1,node2,tstart,tend,line,
Rockaway Park-Beach 116 St,Beach 105 St,41,43,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,43,45,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,45,46,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,46,50,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,61,63,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,63,65,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,65,66,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,66,70,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,81,83,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,83,85,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,85,86,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,86,90,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,101,103,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,103,105,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,105,106,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,106,110,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,121,123,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,123,125,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,125,126,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,126,130,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,141,143,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,143,145,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,145,146,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,146,150,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,161,163,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,163,165,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,165,166,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,166,170,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,181,183,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,183,185,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,185,186,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,186,190,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,201,203,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,203,205,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,205,206,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,206,210,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,221,223,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,223,225,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,225,226,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,226,230,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,241,243,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,243,245,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,245,246,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,246,250,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,261,263,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,263,265,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,265,266,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,266,270,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,289,291,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,291,293,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,293,295,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,295,298,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,312,314,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,314,316,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,316,317,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,317,321,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,330,332,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,332,334,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,334,335,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,335,339,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,348,350,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,350,352,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,352,353,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,353,357,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,363,365,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,365,367,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,367,369,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,369,372,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,381,383,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,383,385,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,385,386,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,386,390,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,408,410,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,410,412,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,412,414,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,414,417,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,431,434,Rockaway Park Shuttle to Beach 105 St
