node1,node2,tstart,tend,line,
86 St,Avenue U,423,424,Broadway Local to Avenue U
Avenue U,Kings Hwy,424,426,Broadway Local to Kings Hwy
Kings Hwy,Bay Pkwy,426,428,Broadway Local to Bay Pkwy
Bay Pkwy,20 Av,428,430,Broadway Local to 20 Av
20 Av,18 Av,430,431,Broadway Local to 18 Av
18 Av,New Utrecht Av,431,433,Broadway Local to New Utrecht Av
New Utrecht Av,Fort Hamilton Pkwy,433,435,Broadway Local to Fort Hamilton Pkwy
Fort Hamilton Pkwy,8 Av,435,436,Broadway Local to 8 Av
8 Av,59 St,436,439,Broadway Local to 59 St
59 St,53 St,439,441,Broadway Local to 53 St
53 St,45 St,441,443,Broadway Local to 45 St
45 St,36 St,443,445,Broadway Local to 36 St
36 St,25 St,445,447,Broadway Local to 25 St
25 St,Prospect Av,447,449,Broadway Local to Prospect Av
Prospect Av,4 Av-9 St,449,451,Broadway Local to 4 Av-9 St
4 Av-9 St,Union St,451,453,Broadway Local to Union St
Union St,Atlantic Av-Barclays Ctr,453,455,Broadway Local to Atlantic Av-Barclays Ctr
Atlantic Av-Barclays Ctr,DeKalb Av,455,458,Broadway Local to DeKalb Av
DeKalb Av,Jay St-MetroTech,458,459,Broadway Local to Jay St-MetroTech
Jay St-MetroTech,Court St,459,461,Broadway Local to Court St
Court St,Whitehall St-South Ferry,461,465,Broadway Local to Whitehall St-South Ferry
Whitehall St-South Ferry,Rector St,465,467,Broadway Local to Rector St
Rector St,Cortlandt St,467,468,Broadway Local to Cortlandt St
Cortlandt St,City Hall,468,470,Broadway Local to City Hall
City Hall,Canal St,470,472,Broadway Local to Canal St
Canal St,Prince St,473,475,Broadway Local to Prince St
Prince St,8 St-NYU,475,477,Broadway Local to 8 St-NYU
8 St-NYU,14 St-Union Sq,477,478,Broadway Local to 14 St-Union Sq
14 St-Union Sq,23 St,478,480,Broadway Local to 23 St
23 St,28 St,480,481,Broadway Local to 28 St
28 St,34 St-Herald Sq,481,482,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,Times Sq-42 St,482,484,Broadway Local to Times Sq-42 St
Times Sq-42 St,49 St,484,486,Broadway Local to 49 St
49 St,57 St-7 Av,486,488,Broadway Local to 57 St-7 Av
57 St-7 Av,5 Av/59 St,488,491,Broadway Local to 5 Av/59 St
5 Av/59 St,Lexington Av/59 St,491,492,Broadway Local to Lexington Av/59 St
Lexington Av/59 St,Queensboro Plaza,492,497,Broadway Local to Queensboro Plaza
Queensboro Plaza,39 Av-Dutch Kills,498,500,Broadway Local to 39 Av-Dutch Kills
39 Av-Dutch Kills,36 Av,500,501,Broadway Local to 36 Av
36 Av,Broadway,501,503,Broadway Local to Broadway
Broadway,30 Av,503,505,Broadway Local to 30 Av
30 Av,Astoria Blvd,505,506,Broadway Local to Astoria Blvd
Astoria Blvd,Astoria-Ditmars Blvd,506,508,Broadway Local to Astoria-Ditmars Blvd
Whitehall St-South Ferry,Rector St,426,428,Broadway Local to Rector St
Rector St,Cortlandt St,428,429,Broadway Local to Cortlandt St
Cortlandt St,City Hall,429,431,Broadway Local to City Hall
City Hall,Canal St,431,433,Broadway Local to Canal St
Canal St,Prince St,433,435,Broadway Local to Prince St
Prince St,8 St-NYU,435,437,Broadway Local to 8 St-NYU
8 St-NYU,14 St-Union Sq,437,438,Broadway Local to 14 St-Union Sq
14 St-Union Sq,23 St,438,440,Broadway Local to 23 St
23 St,28 St,440,441,Broadway Local to 28 St
28 St,34 St-Herald Sq,441,442,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,Times Sq-42 St,442,444,Broadway Local to Times Sq-42 St
Times Sq-42 St,49 St,444,446,Broadway Local to 49 St
49 St,57 St-7 Av,446,448,Broadway Local to 57 St-7 Av
57 St-7 Av,5 Av/59 St,448,451,Broadway Local to 5 Av/59 St
5 Av/59 St,Lexington Av/59 St,451,452,Broadway Local to Lexington Av/59 St
Lexington Av/59 St,Queensboro Plaza,452,457,Broadway Local to Queensboro Plaza
Queensboro Plaza,39 Av-Dutch Kills,457,459,Broadway Local to 39 Av-Dutch Kills
39 Av-Dutch Kills,36 Av,459,460,Broadway Local to 36 Av
36 Av,Broadway,460,462,Broadway Local to Broadway
Broadway,30 Av,462,464,Broadway Local to 30 Av
30 Av,Astoria Blvd,464,465,Broadway Local to Astoria Blvd
Astoria Blvd,Astoria-Ditmars Blvd,465,467,Broadway Local to Astoria-Ditmars Blvd
Whitehall St-South Ferry,Rector St,443,445,Broadway Local to Rector St
Rector St,Cortlandt St,445,446,Broadway Local to Cortlandt St
Cortlandt St,City Hall,446,448,Broadway Local to City Hall
City Hall,Canal St,448,451,Broadway Local to Canal St
Canal St,Prince St,452,454,Broadway Local to Prince St
Prince St,8 St-NYU,454,456,Broadway Local to 8 St-NYU
8 St-NYU,14 St-Union Sq,456,457,Broadway Local to 14 St-Union Sq
14 St-Union Sq,23 St,457,459,Broadway Local to 23 St
23 St,28 St,459,460,Broadway Local to 28 St
28 St,34 St-Herald Sq,460,461,Broadway Local to 34 St-Herald Sq
34 St-Herald Sq,Times Sq-42 St,461,463,Broadway Local to Times Sq-42 St
Times Sq-42 St,49 St,463,465,Broadway Local to 49 St
49 St,57 St-7 Av,465,467,Broadway Local to 57 St-7 Av
